week,opponent,result
1,PIT,LOSS
2,MIA,WIN
3,WSH,WIN
4,HOU,WIN
5,KC,WIN
6,TEN,LOSS
7,BYE,BYE
8,MIA,WIN
9,JAX,LOSS
10,NYJ,WIN
11,IND,LOSS
12,NO,WIN
13,NE,LOSS
14,TB,LOSS
15,CAR,WIN
16,NE,WIN
17,ATL,WIN
18,NYJ,WIN
