team,player,category,REC,YDS,AVG,TD,LONG,TGTS
LV,Ameer Abdullah,receiving,19,131,6.09,0,18,24
LV,Austin Hooper,receiving,25,234,8.51,0,21,31
LV,Cole Fotheringham,receiving,1,6,6.0,0,6,1
LV,Davante Adams,receiving,103,1144,10.86,8,46,175
LV,DeAndre Carter,receiving,4,39,5.57,0,16,7
LV,Greg Van Roten,receiving,0,5,0.0,0,5,0
LV,Hunter Renfrow,receiving,25,255,8.86,0,38,37
LV,Jakob Johnson,receiving,1,12,12.0,0,12,2
LV,Jakobi Meyers,receiving,71,807,12.89,8,33,106
LV,Jesper Horsted,receiving,1,4,4.0,0,4,1
LV,Josh Jacobs,receiving,37,296,8.22,0,21,54
LV,Michael Mayer,receiving,27,304,10.22,2,32,40
LV,Tre Tucker,receiving,19,331,10.83,2,50,34
LV,Zamir White,receiving,15,98,5.5,0,15,19
