team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Michael Palardy,punting,3,118,39.3,0,0,47
ATL,Bradley Pinion,punting,2,88,44.0,0,1,46
BAL,Jordan Stout,punting,3,105,35.0,0,2,50
BUF,Sam Martin,punting,4,171,42.8,1,2,56
CAR,Johnny Hekker,punting,5,223,44.6,1,1,57
CHI,Tory Taylor,punting,3,121,40.3,0,2,49
CIN,Ryan Rehkow,punting,4,206,51.5,0,1,62
CLE,Corey Bojorquez,punting,4,174,43.5,0,0,47
DAL,Bryan Anger,punting,5,246,49.2,0,2,57
DEN,Riley Dixon,punting,5,228,45.6,0,2,51
DET,Jack Fox,punting,1,47,47.0,0,0,47
GB,Daniel Whelan,punting,2,93,46.5,1,0,60
HOU,Tommy Townsend,punting,2,105,52.5,1,0,57
IND,Rigoberto Sanchez,punting,4,189,47.3,0,1,57
JAX,Logan Cooke,punting,7,275,39.3,0,2,55
KC,Matt Araiza,punting,2,90,45.0,0,1,49
LAC,JK Scott,punting,3,125,41.7,0,0,46
LAR,Ethan Evans,punting,2,79,39.5,0,2,43
LV,AJ Cole,punting,6,285,47.5,0,3,60
MIA,Jake Bailey,punting,2,98,49.0,0,1,58
MIN,Ryan Wright,punting,6,300,50.0,0,4,63
NE,Bryce Baringer,punting,3,133,44.3,0,1,46
NO,Matthew Hayball,punting,4,159,39.8,0,3,48
NYG,Jamie Gillan,punting,5,210,42.0,0,3,51
PHI,Braden Mann,punting,4,160,40.0,0,2,43
PIT,Corliss Waitman,punting,5,247,49.4,0,3,58
SEA,Michael Dickson,punting,5,262,52.4,1,2,59
SF,Pat O'Donnell,punting,4,180,45.0,0,1,51
TB,Jack Browning,punting,4,179,44.8,1,0,54
TEN,Ryan Stonehouse,punting,4,221,55.3,1,1,61
WSH,Tress Way,punting,2,92,46.0,0,0,49
