team,player,category,INT,YDS,TD
CLE,Grant Delpit,interceptions,2,0,0
CLE,Denzel Ward,interceptions,1,0,0
DAL,Nahshon Wright,interceptions,1,0,0
DEN,Justin Simmons,interceptions,1,0,0
DET,Aidan Hutchinson,interceptions,1,5,0
GB,Adrian Amos,interceptions,1,26,0
GB,Darnell Savage,interceptions,1,75,1
GB,Rudy Ford,interceptions,1,19,0
HOU,Jalen Pitre,interceptions,1,0,0
HOU,Desmond King II,interceptions,1,1,0
KC,L'Jarius Sneed,interceptions,1,25,0
LV,Amik Robertson,interceptions,1,0,0
NE,Jonathan Jones,interceptions,1,2,0
NE,Kyle Dugger,interceptions,1,39,1
NO,Marshon Lattimore,interceptions,1,12,1
NYG,Landon Collins,interceptions,1,52,1
PHI,Josiah Scott,interceptions,1,13,0
PIT,Minkah Fitzpatrick,interceptions,1,0,0
SEA,Quandre Diggs,interceptions,1,27,0
SEA,Mike Jackson,interceptions,1,22,0
SF,Tashaun Gipson Sr.,interceptions,1,56,0
SF,Drake Jackson,interceptions,1,0,0
TB,Sean Murphy-Bunting,interceptions,1,0,0
TEN,Kevin Byard,interceptions,2,30,0
