team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,1,34,34.0,0,1,34
ATL,Bradley Pinion,punting,3,148,49.3,0,2,62
BAL,Jordan Stout,punting,4,179,44.8,1,2,56
CAR,Johnny Hekker,punting,5,251,50.2,1,3,58
CHI,Trenton Gill,punting,7,321,45.9,0,3,56
CLE,Corey Bojorquez,punting,4,187,46.8,0,2,64
DAL,Bryan Anger,punting,3,121,40.3,0,3,42
DEN,Corliss Waitman,punting,5,257,51.4,1,2,57
DET,Jack Fox,punting,3,150,50.0,0,1,60
GB,Pat O'Donnell,punting,2,81,40.5,0,1,43
HOU,Cameron Johnston,punting,6,274,45.7,0,2,53
IND,Matt Haack,punting,4,147,36.8,0,1,45
JAX,Logan Cooke,punting,5,217,43.4,0,4,57
KC,Tommy Townsend,punting,5,263,52.6,0,1,60
LAC,JK Scott,punting,4,161,40.3,0,3,48
LAR,Riley Dixon,punting,5,222,44.4,0,1,57
LV,AJ Cole,punting,2,81,40.5,0,1,52
MIA,Thomas Morstead,punting,4,189,47.3,0,4,51
MIN,Ryan Wright,punting,2,95,47.5,0,0,55
NE,Michael Palardy,punting,5,212,42.4,2,0,58
NO,Blake Gillikin,punting,6,256,42.7,0,5,55
NYG,Jamie Gillan,punting,1,47,47.0,1,0,47
NYJ,Braden Mann,punting,3,130,43.3,0,1,59
PHI,Brett Kern,punting,6,251,41.8,0,0,53
PIT,Pressley Harvin III,punting,2,99,49.5,0,1,51
SEA,Michael Dickson,punting,4,169,42.3,0,2,47
SF,Mitch Wishnowsky,punting,2,93,46.5,0,1,56
TB,Jake Camarda,punting,5,227,45.4,0,2,50
TEN,Ryan Stonehouse,punting,5,237,47.4,1,1,55
WSH,Tress Way,punting,2,90,45.0,0,1,48
