team,player,category,CAR,YDS,AVG,TD,LONG
PIT,Anthony McFarland Jr.,rushing,6,30,5.0,0,14
PIT,Benny Snell Jr.,rushing,20,90,3.73,1,16
PIT,Chase Claypool,rushing,8,55,8.33,0,15
PIT,Connor Heyward,rushing,2,27,13.5,0,21
PIT,Derek Watt,rushing,9,21,2.31,1,4
PIT,Diontae Johnson,rushing,7,25,3.1,0,8
PIT,George Pickens,rushing,3,24,6.25,1,22
PIT,Gunner Olszewski,rushing,8,39,6.0,0,18
PIT,Jaylen Warren,rushing,77,379,4.64,1,31
PIT,Kenny Pickett,rushing,55,237,4.99,3,23
PIT,Marcus Allen,rushing,1,4,4.0,0,4
PIT,Mitchell Trubisky,rushing,19,38,2.8,2,9
PIT,Najee Harris,rushing,272,1034,3.66,7,36
PIT,Steven Sims,rushing,13,70,4.54,0,22
