team,player,category,INT,YDS,TD
BUF,Christian Benford,interceptions,1,0,0
BUF,Taylor Rapp,interceptions,1,0,0
CIN,Logan Wilson,interceptions,1,26,0
CIN,Jordan Battle,interceptions,1,0,0
CLE,D'Anthony Bell,interceptions,1,2,0
DAL,DaRon Bland,interceptions,1,0,0
DAL,Donovan Wilson,interceptions,1,0,0
DET,Cameron Sutton,interceptions,1,23,0
DET,C.J. Gardner-Johnson,interceptions,1,0,0
JAX,Andre Cisco,interceptions,1,29,0
LAC,Alohi Gilman,interceptions,1,0,0
LV,Tre'von Moehrig,interceptions,1,0,0
MIA,DeShon Elliott,interceptions,1,0,0
MIA,Eli Apple,interceptions,1,8,0
NO,Tyrann Mathieu,interceptions,1,74,0
NO,Alontae Taylor,interceptions,1,16,0
NYG,Xavier McKinney,interceptions,2,4,0
NYJ,Tony Adams,interceptions,1,0,0
NYJ,Ashtyn Davis,interceptions,1,14,0
PHI,Reed Blankenship,interceptions,1,0,0
SF,Tayler Hawkins,interceptions,1,0,0
TEN,Sean Murphy-Bunting,interceptions,1,2,0
TEN,Terrell Edmunds,interceptions,1,2,0
WSH,Quan Martin,interceptions,1,7,0
