team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,262,8.7,1,0,1,22,30
ATL,Logan Woodside,passing,27,6.8,0,1,1,3,4
ATL,Desmond Ridder,passing,291,9.7,2,1,0,22,30
BAL,Tyler Huntley,passing,146,5.2,1,0,4,15,28
BUF,Josh Allen,passing,359,9.4,2,2,3,30,38
CAR,Bryce Young,passing,94,5.2,0,0,3,11,18
CHI,Justin Fields,passing,148,9.3,0,0,5,11,16
CIN,Jake Browning,passing,156,6.5,3,1,2,18,24
CIN,AJ McCarron,passing,20,5.0,0,0,1,3,4
CLE,Jeff Driskel,passing,166,6.4,2,2,3,13,26
DAL,Dak Prescott,passing,279,7.8,4,1,0,31,36
DAL,Cooper Rush,passing,30,7.5,0,0,0,3,4
DEN,Jarrett Stidham,passing,272,8.0,1,1,5,20,34
DET,Jared Goff,passing,320,10.0,2,0,1,23,32
GB,Jordan Love,passing,316,9.9,2,0,1,27,32
HOU,C.J. Stroud,passing,264,10.2,2,0,2,20,26
IND,Gardner Minshew II,passing,141,5.9,0,0,1,13,24
JAX,Trevor Lawrence,passing,280,6.5,2,2,0,29,43
KC,Blaine Gabbert,passing,154,5.1,0,1,1,15,30
LAC,Easton Stick,passing,258,5.5,0,0,3,28,47
LAR,Carson Wentz,passing,163,6.8,2,1,2,17,24
LV,Jimmy Garoppolo,passing,0,0.0,0,0,1,0,1
LV,Aidan O'Connell,passing,244,7.9,2,0,2,20,31
MIA,De'Von Achane,passing,0,0.0,0,0,1,0,0
MIA,Tua Tagovailoa,passing,173,6.4,1,2,0,17,27
MIN,Nick Mullens,passing,396,9.0,2,2,4,30,44
NE,Bailey Zappe,passing,88,2.9,0,2,7,12,30
NO,Taysom Hill,passing,0,0.0,0,0,1,0,0
NO,Derek Carr,passing,264,9.4,4,0,2,22,28
NYG,Tyrod Taylor,passing,297,9.3,1,1,1,23,32
NYG,Tommy DeVito,passing,14,7.0,0,0,1,2,2
NYJ,Trevor Siemian,passing,70,3.5,0,0,1,8,20
PHI,Marcus Mariota,passing,148,7.4,1,1,3,13,20
PHI,Jalen Hurts,passing,55,3.4,0,1,2,7,16
PIT,Mason Rudolph,passing,152,7.6,1,0,3,18,20
SEA,Geno Smith,passing,189,6.8,2,0,0,16,28
SF,Sam Darnold,passing,189,7.3,1,0,3,16,26
TB,Baker Mayfield,passing,137,4.3,0,0,3,20,32
TEN,DeAndre Hopkins,passing,0,0.0,0,0,0,0,1
TEN,Ryan Tannehill,passing,168,6.5,2,1,2,17,26
WSH,Sam Howell,passing,153,5.7,1,2,4,19,27
WSH,Dyami Brown,passing,4,4.0,0,0,0,1,1
