team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,3,152,50.7,0,2,61
ATL,Bradley Pinion,punting,5,254,50.8,1,1,66
BAL,Jordan Stout,punting,7,377,53.9,1,1,66
BUF,Sam Martin,punting,1,41,41.0,0,1,41
CAR,Johnny Hekker,punting,6,246,41.0,0,1,44
CHI,Trenton Gill,punting,3,137,45.7,1,2,51
CIN,Brad Robbins,punting,6,274,45.7,0,1,56
CLE,Corey Bojorquez,punting,7,335,47.9,0,4,58
DEN,Riley Dixon,punting,5,278,55.6,1,1,64
DET,Jack Fox,punting,5,268,53.6,2,2,61
HOU,Cameron Johnston,punting,6,298,49.7,0,4,62
IND,Rigoberto Sanchez,punting,4,216,54.0,0,0,63
JAX,Logan Cooke,punting,1,43,43.0,0,0,43
KC,Tommy Townsend,punting,6,274,45.7,2,3,61
LAC,JK Scott,punting,5,218,43.6,0,2,49
LAR,Ethan Evans,punting,2,96,48.0,0,1,51
LV,AJ Cole,punting,4,234,58.5,0,1,66
MIA,Jake Bailey,punting,5,239,47.8,0,1,58
MIN,Ryan Wright,punting,4,224,56.0,0,1,58
NE,Bryce Baringer,punting,9,422,46.9,1,2,63
NO,Lou Hedley,punting,4,183,45.8,0,1,50
NYG,Jamie Gillan,punting,5,228,45.6,0,4,55
NYJ,Thomas Morstead,punting,7,322,46.0,0,3,59
PHI,Braden Mann,punting,4,201,50.3,0,1,55
PIT,Pressley Harvin III,punting,6,250,41.7,1,2,53
SEA,Michael Dickson,punting,5,258,51.6,0,2,62
SF,Mitch Wishnowsky,punting,3,144,48.0,0,1,61
TB,Jake Camarda,punting,6,330,55.0,2,0,74
TEN,Ty Zentner,punting,3,144,48.0,0,1,50
WSH,Tress Way,punting,1,50,50.0,0,0,50
