team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,5,255,51.0,0,0,57
ATL,Bradley Pinion,punting,4,180,45.0,0,2,51
BAL,Jordan Stout,punting,6,291,48.5,1,3,64
CAR,Johnny Hekker,punting,5,250,50.0,0,0,61
CHI,Trenton Gill,punting,6,277,46.2,1,1,58
CIN,Kevin Huber,punting,3,158,52.7,1,1,58
CLE,Corey Bojorquez,punting,4,187,46.8,1,2,56
DAL,Bryan Anger,punting,5,254,50.8,0,2,58
DEN,Corliss Waitman,punting,1,36,36.0,0,1,36
DET,Jack Fox,punting,4,185,46.3,0,2,54
GB,Pat O'Donnell,punting,4,179,44.8,0,3,53
HOU,Cameron Johnston,punting,7,318,45.4,0,3,52
IND,Matt Haack,punting,4,179,44.8,0,3,70
JAX,Logan Cooke,punting,3,150,50.0,0,1,61
KC,Tommy Townsend,punting,2,108,54.0,1,0,58
LAC,JK Scott,punting,4,196,49.0,0,1,51
LAR,Riley Dixon,punting,4,180,45.0,0,2,57
LV,AJ Cole,punting,2,106,53.0,0,1,56
MIA,Thomas Morstead,punting,4,183,45.8,0,3,58
MIN,Ryan Wright,punting,5,232,46.4,0,3,56
NE,Jake Bailey,punting,3,118,39.3,0,3,48
NO,Blake Gillikin,punting,5,272,54.4,0,1,59
NYG,Jamie Gillan,punting,6,309,51.5,0,5,69
NYJ,Braden Mann,punting,6,253,42.2,0,2,50
PHI,Arryn Siposs,punting,3,137,45.7,0,0,48
PIT,Pressley Harvin III,punting,8,388,48.5,1,1,60
SEA,Michael Dickson,punting,2,101,50.5,0,0,54
SF,Mitch Wishnowsky,punting,4,161,40.3,0,3,51
TB,Jake Camarda,punting,3,152,50.7,1,2,63
TEN,Ryan Stonehouse,punting,6,342,57.0,0,3,66
WSH,Tress Way,punting,3,147,49.0,1,0,57
