team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,0.0,0,1,0,0,1,1
ATL,Younghoe Koo,kicking,80.0,54,14,4,5,2,2
BAL,Justin Tucker,kicking,100.0,24,6,1,1,3,3
BUF,Tyler Bass,kicking,100.0,41,7,1,1,4,4
CAR,Eddy Pineiro,kicking,100.0,34,6,1,1,3,3
CHI,Cairo Santos,kicking,0.0,0,1,0,0,1,3
CIN,Evan McPherson,kicking,67.0,59,6,2,3,0,1
CLE,Cade York,kicking,100.0,58,14,4,4,2,2
DAL,Brett Maher,kicking,100.0,51,3,1,1,0,0
DEN,Brandon McManus,kicking,75.0,40,10,3,4,1,1
DET,Austin Seibert,kicking,0.0,0,5,0,0,5,5
GB,Mason Crosby,kicking,0.0,0,1,0,0,1,1
HOU,Ka'imi Fairbairn,kicking,100.0,45,8,2,2,2,2
IND,Rodrigo Blankenship,kicking,67.0,45,8,2,3,2,2
JAX,Riley Patterson,kicking,75.0,45,10,3,4,1,1
KC,Harrison Butker,kicking,100.0,54,7,1,1,4,4
KC,Justin Reid,kicking,0.0,0,1,0,0,1,2
LAC,Dustin Hopkins,kicking,50.0,43,6,1,2,3,3
LAR,Matt Gay,kicking,100.0,57,4,1,1,1,1
LV,Daniel Carlson,kicking,100.0,55,7,2,2,1,1
MIA,Jason Sanders,kicking,100.0,49,8,2,2,2,2
MIN,Greg Joseph,kicking,100.0,56,11,3,3,2,2
NE,Nick Folk,kicking,0.0,0,1,0,0,1,1
NO,Wil Lutz,kicking,67.0,51,7,2,3,1,1
NYG,Graham Gano,kicking,0.0,0,1,0,0,1,1
NYJ,Greg Zuerlein,kicking,50.0,45,3,1,2,0,1
PHI,Jake Elliott,kicking,100.0,23,8,1,1,5,5
PIT,Chris Boswell,kicking,75.0,53,11,3,4,2,2
SEA,Jason Myers,kicking,100.0,49,5,1,1,2,2
SF,Robbie Gould,kicking,100.0,25,4,1,1,1,1
TB,Ryan Succop,kicking,80.0,47,13,4,5,1,1
TEN,Randy Bullock,kicking,67.0,46,8,2,3,2,2
WSH,Joey Slye,kicking,0.0,0,2,0,0,2,2
