team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,38,1887,49.7,1,19,63
ARI,Chad Ryland,punting,3,117,39.0,0,0,44
ARI,Michael Palardy,punting,13,559,43.45,1,1,54
