team,player,category,YDS,AVG,TD,INT,SACKS,QBR,RTG,COMP,ATT
ARI,Clayton Tune,passing,8,4.0,0,0,0.0,94.3,83.3,2,2
ARI,Kyler Murray,passing,3851,7.31,21,11,0.0,59.51,95.09,372,541
