team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,4,211,52.8,1,1,58
ATL,Bradley Pinion,punting,1,52,52.0,0,0,52
BAL,Jordan Stout,punting,1,50,50.0,0,0,50
BUF,Sam Martin,punting,3,159,53.0,1,0,62
CAR,Johnny Hekker,punting,3,120,40.0,0,1,58
CHI,Tory Taylor,punting,2,123,61.5,0,0,64
CIN,Ryan Rehkow,punting,6,278,46.3,1,4,57
CLE,Corey Bojorquez,punting,4,223,55.8,0,1,64
DAL,Bryan Anger,punting,2,93,46.5,0,0,55
DEN,Riley Dixon,punting,5,233,46.6,0,3,54
GB,Daniel Whelan,punting,1,46,46.0,0,1,46
HOU,Tommy Townsend,punting,4,185,46.3,0,1,65
IND,Rigoberto Sanchez,punting,5,271,54.2,1,3,60
JAX,Logan Cooke,punting,4,193,48.3,0,4,56
LAC,JK Scott,punting,4,159,39.8,0,3,43
LV,AJ Cole,punting,3,170,56.7,2,0,66
NE,Bryce Baringer,punting,6,299,49.8,0,2,58
NO,Matthew Hayball,punting,6,266,44.3,0,3,58
NYG,Matt Haack,punting,4,187,46.8,0,2,55
NYJ,Thomas Morstead,punting,2,96,48.0,1,0,51
PHI,Braden Mann,punting,3,146,48.7,0,2,55
PIT,Corliss Waitman,punting,3,137,45.7,0,2,47
SEA,Michael Dickson,punting,4,216,54.0,0,2,62
SF,Mitch Wishnowsky,punting,4,173,43.3,0,3,49
TB,Jake Camarda,punting,3,132,44.0,0,1,47
TEN,Ryan Stonehouse,punting,5,289,57.8,1,0,75
WSH,Tress Way,punting,3,127,42.3,0,2,54
