team,player,category,INT,YDS,TD
ARI,Sean Murphy-Bunting,interceptions,1,0,0
ATL,A.J. Terrell Jr.,interceptions,1,1,0
ATL,Clark Phillips III,interceptions,1,45,0
BUF,Taron Johnson,interceptions,1,0,0
CHI,Josh Blackwell,interceptions,1,10,0
CIN,Germaine Pratt,interceptions,1,24,0
DET,Brian Branch,interceptions,2,47,0
DET,Kerby Joseph,interceptions,1,0,0
HOU,Eric Murray,interceptions,1,0,0
HOU,Calen Bullock,interceptions,1,28,0
IND,Julian Blackmon,interceptions,1,0,0
JAX,Andre Cisco,interceptions,1,22,0
LAC,Elijah Molden,interceptions,1,25,0
NE,Marcus Jones,interceptions,1,35,0
NO,Johnathan Abram,interceptions,1,30,0
NO,Paulson Adebo,interceptions,1,20,0
NO,Cameron Jordan,interceptions,1,0,0
PIT,Donte Jackson,interceptions,1,24,0
SF,Renardo Green,interceptions,1,20,0
SF,Malik Mustapha,interceptions,1,1,0
TB,Zyon McCollum,interceptions,1,0,0
TB,Tykee Smith,interceptions,1,0,0
TEN,Amani Hooker,interceptions,1,30,0
WSH,Mike Sainristil,interceptions,1,38,0
