team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,4,162,40.5,0,1,48
ATL,Bradley Pinion,punting,5,215,43.0,0,3,52
BAL,Jordan Stout,punting,2,95,47.5,1,0,53
BUF,Sam Martin,punting,2,108,54.0,0,0,63
CAR,Johnny Hekker,punting,7,362,51.7,2,3,68
CHI,Trenton Gill,punting,4,185,46.3,0,1,54
CIN,Kevin Huber,punting,3,131,43.7,0,1,50
CLE,Corey Bojorquez,punting,3,133,44.3,0,1,45
DAL,Bryan Anger,punting,2,119,59.5,1,0,60
DEN,Corliss Waitman,punting,7,323,46.1,0,4,58
GB,Pat O'Donnell,punting,5,244,48.8,0,2,62
IND,Matt Haack,punting,3,110,36.7,0,2,45
JAX,Logan Cooke,punting,3,151,50.3,0,1,61
KC,Tommy Townsend,punting,3,173,57.7,0,1,60
LAC,JK Scott,punting,4,176,44.0,0,1,54
LAR,Riley Dixon,punting,5,240,48.0,0,1,60
MIA,Thomas Morstead,punting,6,307,51.2,1,2,63
MIN,Ryan Wright,punting,10,441,44.1,0,6,73
NE,Jake Bailey,punting,4,164,41.0,0,3,45
NO,Blake Gillikin,punting,3,149,49.7,0,0,61
NYG,Jamie Gillan,punting,4,185,46.3,0,2,60
NYJ,Braden Mann,punting,6,268,44.7,0,0,61
PHI,Arryn Siposs,punting,4,187,46.8,0,2,59
PIT,Pressley Harvin III,punting,5,221,44.2,0,2,53
SEA,Michael Dickson,punting,6,293,48.8,1,1,64
SF,Mitch Wishnowsky,punting,3,158,52.7,0,1,59
TB,Jake Camarda,punting,5,230,46.0,0,1,52
WSH,Tress Way,punting,6,307,51.2,0,2,58
