team,player,category,INT,YDS,TD
ATL,Isaiah Oliver,interceptions,1,27,0
ATL,Jaylinn Hawkins,interceptions,1,14,0
BUF,Taron Johnson,interceptions,1,2,0
BUF,Kaiir Elam,interceptions,1,0,0
CAR,Donte Jackson,interceptions,1,30,1
DEN,Baron Browning,interceptions,1,-6,0
LAR,Nick Scott,interceptions,1,0,0
MIN,Patrick Peterson,interceptions,1,6,0
MIN,Harrison Smith,interceptions,1,0,0
NE,Jalen Mills,interceptions,1,15,0
NE,Kyle Dugger,interceptions,1,0,0
NYG,Julian Love,interceptions,1,27,0
PHI,C.J. Gardner-Johnson,interceptions,2,15,0
PHI,Darius Slay,interceptions,1,-2,0
SEA,Riq Woolen,interceptions,1,0,0
WSH,Jonathan Allen,interceptions,1,1,0
