team,player,category,INT,YDS,TD
BUF,Christian Benford,interceptions,1,8,0
CAR,Xavier Woods,interceptions,1,2,0
CHI,Tremaine Edmunds,interceptions,1,45,1
CHI,Tyrique Stevenson,interceptions,1,34,0
CHI,Eddie Jackson,interceptions,1,27,0
CIN,Mike Hilton,interceptions,1,16,0
CIN,B.J. Hill,interceptions,1,0,0
CLE,D'Anthony Bell,interceptions,1,6,0
CLE,Jeremiah Owusu-Koramoah,interceptions,1,0,0
HOU,Steven Nelson,interceptions,1,0,0
IND,Julian Blackmon,interceptions,1,25,0
IND,Nick Cross,interceptions,1,18,0
JAX,Rayshawn Jenkins,interceptions,1,18,0
KC,Willie Gay Jr.,interceptions,1,24,0
LAR,John Johnson III,interceptions,1,2,0
LV,Jack Jones,interceptions,1,16,1
MIA,Brandon Jones,interceptions,2,40,0
MIN,Akayleb Evans,interceptions,1,1,0
NE,Jahlani Tavai,interceptions,1,2,0
NE,Marte Mapu,interceptions,1,20,0
SEA,Julian Love,interceptions,2,0,0
SF,Charvarius Ward,interceptions,2,79,1
TEN,Elijah Molden,interceptions,1,44,1
