team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,2,112,56.0,0,1,62
ATL,Bradley Pinion,punting,5,198,39.6,0,2,52
BAL,Jordan Stout,punting,3,129,43.0,0,2,51
BUF,Sam Martin,punting,2,95,47.5,1,0,49
CAR,Johnny Hekker,punting,5,235,47.0,1,2,53
CHI,Trenton Gill,punting,10,448,44.8,1,2,56
CIN,Brad Robbins,punting,4,192,48.0,0,2,56
CLE,Corey Bojorquez,punting,9,390,43.3,0,5,53
DAL,Bryan Anger,punting,5,275,55.0,0,3,62
DEN,Riley Dixon,punting,5,259,51.8,1,2,56
DET,Jack Fox,punting,4,141,35.3,1,1,48
GB,Daniel Whelan,punting,2,94,47.0,0,1,51
HOU,Cameron Johnston,punting,6,280,46.7,0,3,56
IND,Rigoberto Sanchez,punting,1,57,57.0,0,1,57
JAX,Logan Cooke,punting,3,148,49.3,0,1,60
KC,Tommy Townsend,punting,4,196,49.0,0,1,61
LAC,JK Scott,punting,5,246,49.2,0,2,60
LAR,Ethan Evans,punting,3,134,44.7,0,1,54
LV,AJ Cole,punting,6,310,51.7,0,2,68
MIA,Jake Bailey,punting,4,143,35.8,0,3,42
MIN,Ryan Wright,punting,3,152,50.7,0,0,58
NE,Bryce Baringer,punting,6,288,48.0,0,1,64
NO,Lou Hedley,punting,4,167,41.8,0,2,47
NYG,Jamie Gillan,punting,5,238,47.6,0,1,53
NYJ,Thomas Morstead,punting,5,267,53.4,0,0,59
PHI,Braden Mann,punting,5,248,49.6,0,3,61
PIT,Pressley Harvin III,punting,4,160,40.0,0,1,55
SEA,Michael Dickson,punting,5,280,56.0,0,1,59
SF,Mitch Wishnowsky,punting,2,96,48.0,0,1,56
TB,Jake Camarda,punting,1,65,65.0,0,1,65
TEN,Ty Zentner,punting,8,362,45.3,1,1,58
WSH,Tress Way,punting,5,203,40.6,0,2,50
