team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,211,5.4,1,2,3,26,39
ATL,Desmond Ridder,passing,152,7.6,1,1,0,12,20
BAL,Lamar Jackson,passing,171,7.1,1,1,3,14,24
BUF,Josh Allen,passing,94,6.3,1,0,1,7,15
CAR,Bryce Young,passing,167,7.0,0,0,3,18,24
CHI,Justin Fields,passing,166,4.2,1,2,3,19,40
CIN,Jake Browning,passing,324,7.7,2,1,4,29,42
CIN,Tanner Hudson,passing,0,0.0,0,0,1,0,0
CLE,Dorian Thompson-Robinson,passing,5,5.0,0,0,0,1,1
CLE,Joe Flacco,passing,374,8.5,2,3,4,28,44
DAL,Dak Prescott,passing,134,3.9,0,1,3,21,34
DEN,Russell Wilson,passing,223,7.0,1,0,2,18,32
DET,Jared Goff,passing,278,8.2,5,0,2,24,34
GB,Jordan Love,passing,284,7.3,2,0,2,29,39
HOU,Davis Mills,passing,0,0.0,0,0,1,0,0
HOU,Case Keenum,passing,229,6.4,1,1,3,23,36
IND,Gardner Minshew II,passing,215,7.7,3,0,3,18,28
JAX,Trevor Lawrence,passing,264,6.1,1,0,1,25,43
KC,Patrick Mahomes,passing,305,8.2,2,2,3,27,37
KC,Jerick McKinnon,passing,4,4.0,1,0,0,1,1
LAC,Easton Stick,passing,257,8.0,3,1,3,23,32
LAR,Matthew Stafford,passing,258,7.8,2,0,3,25,33
LV,Jakobi Meyers,passing,12,6.0,1,0,0,2,2
LV,Aidan O'Connell,passing,248,7.3,4,0,1,20,34
MIA,Tua Tagovailoa,passing,224,9.3,1,0,3,21,24
MIA,Mike White,passing,4,2.0,0,0,0,2,2
MIN,Nick Mullens,passing,303,9.2,2,2,3,26,33
MIN,Justin Jefferson,passing,0,0.0,0,0,0,0,1
NE,Bailey Zappe,passing,180,5.8,1,1,4,23,31
NO,Derek Carr,passing,218,7.8,3,0,1,23,28
NO,Taysom Hill,passing,0,0.0,0,0,0,0,1
NYG,Tommy DeVito,passing,177,5.2,0,0,7,20,34
NYG,Tyrod Taylor,passing,13,3.3,0,0,0,2,4
NYJ,Zach Wilson,passing,26,2.4,0,0,4,4,11
NYJ,Trevor Siemian,passing,110,4.2,0,2,2,14,26
PHI,Jalen Hurts,passing,143,4.6,0,2,0,17,31
PIT,Mitchell Trubisky,passing,169,7.3,1,2,3,16,23
PIT,Mason Rudolph,passing,3,1.0,0,0,1,2,3
SEA,Drew Lock,passing,208,6.3,1,0,2,22,33
SF,Sam Darnold,passing,20,6.7,0,0,0,2,3
SF,Brock Purdy,passing,242,9.7,4,0,0,16,25
TB,Baker Mayfield,passing,381,13.6,4,0,5,22,28
TEN,Will Levis,passing,199,7.7,0,1,7,17,26
WSH,Jacoby Brissett,passing,124,12.4,2,0,0,8,10
WSH,Sam Howell,passing,102,3.9,1,1,1,11,26
