team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
IND,Anthony Richardson Sr.,passing,577,6.95,3,1,7,50,84
IND,Gardner Minshew II,passing,3305,6.78,15,9,34,305,490
