team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,4,181,45.3,0,2,59
ATL,Bradley Pinion,punting,3,139,46.3,1,1,50
BAL,Jordan Stout,punting,7,251,35.9,1,4,52
BUF,Sam Martin,punting,2,99,49.5,0,1,52
CAR,Johnny Hekker,punting,6,265,44.2,0,4,53
CHI,Trenton Gill,punting,4,160,40.0,0,1,44
CIN,Drue Chrisman,punting,3,162,54.0,0,2,65
CLE,Corey Bojorquez,punting,3,127,42.3,0,0,55
DAL,Bryan Anger,punting,2,101,50.5,0,2,53
DEN,Corliss Waitman,punting,4,187,46.8,0,0,54
DET,Jack Fox,punting,5,241,48.2,1,1,63
GB,Pat O'Donnell,punting,4,189,47.3,0,1,55
HOU,Cameron Johnston,punting,6,286,47.7,0,1,53
IND,Matt Haack,punting,4,208,52.0,1,2,59
KC,Tommy Townsend,punting,2,92,46.0,0,0,50
LAC,JK Scott,punting,3,147,49.0,0,1,52
LAR,Riley Dixon,punting,6,286,47.7,0,1,60
LV,AJ Cole,punting,4,187,46.8,0,1,58
MIN,Ryan Wright,punting,7,338,48.3,0,4,58
NE,Michael Palardy,punting,7,317,45.3,1,2,52
NO,Blake Gillikin,punting,5,239,47.8,0,3,55
NYG,Jamie Gillan,punting,4,153,38.3,0,2,51
NYJ,Braden Mann,punting,10,458,45.8,0,2,57
PHI,Arryn Siposs,punting,4,167,41.8,0,1,49
PIT,Pressley Harvin III,punting,6,273,45.5,0,2,56
SF,Mitch Wishnowsky,punting,4,215,53.8,1,2,61
TEN,Ryan Stonehouse,punting,3,152,50.7,0,1,59
WSH,Tress Way,punting,5,221,44.2,1,1,52
