team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,100.0,40,4,1,1,1,1
ATL,Younghoe Koo,kicking,100.0,53,9,2,2,3,3
BAL,Justin Tucker,kicking,100.0,37,7,2,2,1,1
BUF,Tyler Bass,kicking,100.0,56,19,6,6,1,1
CAR,Eddy Pineiro,kicking,100.0,32,3,1,1,0,0
CHI,Cairo Santos,kicking,50.0,41,6,1,2,3,3
CIN,Evan McPherson,kicking,100.0,54,13,3,3,4,4
CLE,Cade York,kicking,50.0,32,5,1,2,2,2
DAL,Brett Maher,kicking,100.0,60,16,4,4,4,4
DEN,Brandon McManus,kicking,75.0,52,10,3,4,1,1
DET,Michael Badgley,kicking,100.0,24,7,1,1,4,4
GB,Mason Crosby,kicking,100.0,39,3,1,1,0,1
HOU,Ka'imi Fairbairn,kicking,100.0,29,4,1,1,1,1
IND,Chase McLaughlin,kicking,75.0,51,10,3,4,1,1
KC,Harrison Butker,kicking,100.0,52,12,3,3,3,3
LAC,Cameron Dicker,kicking,100.0,46,9,2,2,3,3
LAR,Matt Gay,kicking,100.0,58,8,2,2,2,2
LV,Daniel Carlson,kicking,75.0,57,10,3,4,1,1
MIN,Greg Joseph,kicking,100.0,25,3,1,1,0,0
NE,Nick Folk,kicking,33.0,24,4,1,3,1,1
NO,Wil Lutz,kicking,100.0,46,9,2,2,3,3
NYG,Graham Gano,kicking,0.0,0,0,0,0,0,2
NYJ,Greg Zuerlein,kicking,100.0,45,3,1,1,0,0
PHI,Jake Elliott,kicking,100.0,22,5,1,1,2,2
PIT,Matthew Wright,kicking,100.0,42,12,3,3,3,3
SF,Robbie Gould,kicking,100.0,39,8,1,1,5,5
TEN,Josh Lambo,kicking,0.0,0,3,0,0,3,4
WSH,Joey Slye,kicking,100.0,44,11,3,3,2,2
