team,player,category,CAR,YDS,AVG,TD,LONG
ARI,Rondale Moore,rushing,1,-6,-6.0,0,-6
ARI,Trace McSorley,rushing,1,6,6.0,0,6
ARI,Keaontay Ingram,rushing,5,19,3.8,0,13
ARI,Colt McCoy,rushing,3,6,2.0,0,4
ARI,James Conner,rushing,14,42,3.0,1,14
ATL,Caleb Huntley,rushing,1,4,4.0,0,4
ATL,Olamide Zaccheaus,rushing,1,13,13.0,0,13
ATL,Marcus Mariota,rushing,13,25,1.9,1,10
ATL,Cordarrelle Patterson,rushing,10,52,5.2,0,17
ATL,Tyler Allgeier,rushing,8,55,6.9,0,26
BAL,Devin Duvernay,rushing,1,4,4.0,0,4
BAL,Patrick Ricard,rushing,1,4,4.0,0,4
BAL,Justice Hill,rushing,7,30,4.3,0,11
BAL,Lamar Jackson,rushing,11,31,2.8,1,10
BAL,Kenyan Drake,rushing,10,46,4.6,0,29
BUF,Nyheim Hines,rushing,1,-8,-8.0,0,-8
BUF,Josh Allen,rushing,3,7,2.3,0,6
BUF,James Cook III,rushing,11,86,7.8,0,29
BUF,Devin Singletary,rushing,18,86,4.8,1,18
CAR,Chuba Hubbard,rushing,4,0,0.0,0,2
CAR,Baker Mayfield,rushing,2,12,6.0,0,8
CAR,D'Onta Foreman,rushing,11,24,2.2,0,10
CHI,Trestan Ebner,rushing,6,8,1.3,0,6
CHI,David Montgomery,rushing,17,67,3.9,1,15
CHI,Justin Fields,rushing,18,85,4.7,1,17
CIN,Joe Mixon,rushing,7,20,2.9,0,7
CIN,Samaje Perine,rushing,11,30,2.7,0,8
CIN,Trayveon Williams,rushing,2,7,3.5,0,8
CIN,Joe Burrow,rushing,4,5,1.3,0,5
CLE,Nick Chubb,rushing,14,19,1.4,0,12
CLE,Jacoby Brissett,rushing,7,29,4.1,0,22
CLE,Kareem Hunt,rushing,5,32,6.4,0,11
DAL,Malik Davis,rushing,7,13,1.9,0,9
DAL,Tony Pollard,rushing,15,80,5.3,0,20
DAL,Ezekiel Elliott,rushing,15,42,2.8,2,8
DAL,Dak Prescott,rushing,3,16,5.3,0,11
DEN,Chase Edmonds,rushing,2,6,3.0,0,4
DEN,Russell Wilson,rushing,1,8,8.0,0,8
DEN,Melvin Gordon III,rushing,8,31,3.9,0,10
DEN,Latavius Murray,rushing,17,49,2.9,1,12
DET,D'Andre Swift,rushing,5,20,4.0,1,16
DET,Jared Goff,rushing,4,-1,-0.3,0,2
DET,Justin Jackson,rushing,9,66,7.3,0,27
DET,Jamaal Williams,rushing,17,64,3.8,3,15
DET,Amon-Ra St. Brown,rushing,1,4,4.0,0,4
DET,Kalif Raymond,rushing,1,7,7.0,0,7
GB,Aaron Jones Sr.,rushing,12,40,3.3,0,14
GB,AJ Dillon,rushing,6,13,2.2,0,5
GB,Christian Watson,rushing,1,3,3.0,0,3
HOU,Chris Moore,rushing,1,3,3.0,0,3
HOU,Dameon Pierce,rushing,10,8,0.8,0,3
HOU,Davis Mills,rushing,5,10,2.0,1,4
IND,Deon Jackson,rushing,1,7,7.0,0,7
IND,Zack Moss,rushing,2,7,3.5,0,7
IND,Jonathan Taylor,rushing,22,84,3.8,1,28
IND,Matt Ryan,rushing,1,1,1.0,0,1
KC,Isiah Pacheco,rushing,15,107,7.1,0,28
KC,Jerick McKinnon,rushing,6,24,4.0,0,7
KC,Patrick Mahomes,rushing,4,23,5.8,0,16
KC,Clyde Edwards-Helaire,rushing,2,9,4.5,0,6
LAC,Justin Herbert,rushing,5,17,3.4,0,7
LAC,Austin Ekeler,rushing,19,83,4.4,1,9
LAC,Sony Michel,rushing,1,1,1.0,0,1
LAC,Zander Horvath,rushing,1,3,3.0,0,3
LAC,Isaiah Spiller,rushing,4,11,2.8,0,11
LAR,Darrell Henderson Jr.,rushing,2,9,4.5,0,5
LAR,Matthew Stafford,rushing,1,4,4.0,0,4
LAR,Cam Akers,rushing,14,61,4.4,0,13
LAR,Bryce Perkins,rushing,5,39,7.8,0,23
LAR,Brandon Powell,rushing,1,-1,-1.0,0,-1
LAR,Kyren Williams,rushing,7,36,5.1,0,17
LV,Josh Jacobs,rushing,24,109,4.5,0,15
MIN,Alexander Mattison,rushing,2,0,0.0,0,3
MIN,Kene Nwangwu,rushing,4,1,0.3,0,4
MIN,Dalvin Cook,rushing,11,72,6.5,0,17
NE,Mac Jones,rushing,2,3,1.5,0,2
NE,Jonnu Smith,rushing,1,5,5.0,0,5
NE,Rhamondre Stevenson,rushing,15,26,1.7,0,5
NE,Damien Harris,rushing,8,65,8.1,0,30
NO,Taysom Hill,rushing,9,52,5.8,0,12
NO,Alvin Kamara,rushing,12,42,3.5,0,11
NO,Andy Dalton,rushing,2,-2,-1.0,0,-1
NO,David Johnson,rushing,1,-4,-4.0,0,-4
NYG,Wan'Dale Robinson,rushing,1,4,4.0,0,4
NYG,Daniel Jones,rushing,7,50,7.1,1,15
NYG,Matt Breida,rushing,3,13,4.3,1,5
NYG,Saquon Barkley,rushing,15,22,1.5,0,4
NYJ,Michael Carter,rushing,8,19,2.4,0,8
NYJ,Zach Wilson,rushing,3,26,8.7,0,14
NYJ,James Robinson,rushing,7,10,1.4,0,5
NYJ,Ty Johnson,rushing,4,4,1.0,0,7
NYJ,Garrett Wilson,rushing,1,0,0.0,0,0
PHI,Jalen Hurts,rushing,16,86,5.4,1,23
PHI,Miles Sanders,rushing,13,47,3.6,0,10
PHI,Kenny Gainwell,rushing,1,0,0.0,0,0
PHI,Boston Scott,rushing,3,8,2.7,0,3
PIT,Kenny Pickett,rushing,2,14,7.0,0,14
PIT,Diontae Johnson,rushing,1,1,1.0,0,1
PIT,Steven Sims,rushing,1,-3,-3.0,0,-3
PIT,Najee Harris,rushing,20,90,4.5,2,19
SF,Deebo Samuel,rushing,3,37,12.3,1,39
SF,Christian McCaffrey,rushing,7,39,5.6,0,20
SF,Elijah Mitchell,rushing,9,59,6.6,0,19
SF,Kyle Juszczyk,rushing,1,4,4.0,0,4
SF,Jordan Mason,rushing,4,14,3.5,0,8
SF,Brock Purdy,rushing,3,3,1.0,0,5
SF,Jimmy Garoppolo,rushing,1,3,3.0,0,3
TEN,Ryan Tannehill,rushing,3,-3,-1.0,0,-1
TEN,Dontrell Hilliard,rushing,1,4,4.0,0,4
TEN,Derrick Henry,rushing,28,87,3.1,1,9
WSH,Antonio Gibson,rushing,18,72,4.0,0,18
WSH,Brian Robinson Jr.,rushing,15,57,3.8,0,14
WSH,Curtis Samuel,rushing,2,18,9.0,1,10
WSH,Jahan Dotson,rushing,1,3,3.0,0,3
WSH,Terry McLaurin,rushing,1,1,1.0,0,1
WSH,Taylor Heinicke,rushing,3,2,0.7,0,4
