week,opponent,result
1,TB,LOSS
2,NYG,WIN
3,CIN,WIN
4,ARI,WIN
5,CLE,WIN
6,BAL,LOSS
7,CAR,WIN
8,CHI,WIN
9,NYG,WIN
10,PIT,LOSS
11,PHI,LOSS
12,DAL,LOSS
13,TEN,WIN
14,BYE,BYE
15,NO,WIN
16,PHI,WIN
17,ATL,WIN
18,DAL,WIN
