team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
LAR,Harrison Mevis,kicking,63.89,52,74,12,13,39,39
LAR,Joshua Karty,kicking,45.84,51,53,10,15,23,26
