team,player,category,YDS,AVG,TD,INT,SACKS,QBR,RTG,COMP,ATT
LAR,Joshua Karty,passing,0,0.0,0,0,0.0,0.0,39.6,0,1
LAR,Matthew Stafford,passing,4707,7.8,46,8,0.0,68.53,108.02,388,597
