week,opponent,result
1,LAR,WIN
2,TEN,WIN
3,MIA,LOSS
4,BAL,WIN
5,PIT,WIN
6,KC,WIN
7,BYE,BYE
8,GB,WIN
9,NYJ,LOSS
10,MIN,LOSS
11,CLE,WIN
12,DET,WIN
13,NE,WIN
14,NYJ,WIN
15,MIA,WIN
16,CHI,WIN
17,CIN,WIN
18,NE,WIN
