team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Jacoby Brissett,passing,317,6.5,1,0,6,33,49
ARI,Kedon Slovis,passing,-2,-2.0,0,0,0,1,1
ATL,Kirk Cousins,passing,199,8.7,2,1,3,16,23
BAL,Lamar Jackson,passing,153,6.7,0,0,1,13,23
BUF,Josh Allen,passing,253,7.4,0,2,8,24,34
CAR,Bryce Young,passing,169,5.8,1,2,1,18,29
CHI,Caleb Williams,passing,239,6.8,3,0,1,19,35
CIN,Joe Flacco,passing,183,4.9,1,1,1,19,37
CIN,Jake Browning,passing,14,14.0,0,0,0,1,1
CLE,Shedeur Sanders,passing,209,10.5,1,1,1,11,20
DAL,Dak Prescott,passing,354,9.8,2,1,1,23,36
DET,Jared Goff,passing,279,6.6,2,1,3,28,42
GB,Jordan Love,passing,139,6.6,0,0,1,14,21
GB,Malik Willis,passing,7,7.0,0,0,0,1,1
HOU,Davis Mills,passing,153,5.1,2,0,0,16,30
IND,Daniel Jones,passing,181,5.8,2,0,0,19,31
JAX,Trevor Lawrence,passing,256,8.5,3,3,3,18,30
KC,Patrick Mahomes,passing,352,7.7,0,1,4,29,46
LAR,Matthew Stafford,passing,273,7.8,3,0,1,25,35
LV,Geno Smith,passing,285,6.5,1,0,10,30,44
MIN,J.J. McCarthy,passing,87,4.6,0,2,5,12,19
NE,Drake Maye,passing,294,8.4,1,1,1,22,35
NO,Tyler Shough,passing,243,5.7,0,1,5,30,43
NO,Taysom Hill,passing,0,0.0,0,0,0,0,2
NYG,Gunner Olszewski,passing,33,33.0,1,0,0,1,1
NYG,Jameis Winston,passing,366,10.2,2,1,1,18,36
NYJ,Tyrod Taylor,passing,222,7.9,1,1,3,17,28
PHI,Jalen Hurts,passing,289,7.4,1,0,1,27,39
PIT,Mason Rudolph,passing,171,5.5,1,1,2,24,31
SEA,Sam Darnold,passing,244,9.4,2,0,1,16,26
SF,Brock Purdy,passing,193,6.0,1,3,0,23,32
TB,Teddy Bridgewater,passing,62,4.1,0,0,2,8,15
TB,Baker Mayfield,passing,41,2.2,1,2,2,9,19
TEN,Cam Ward,passing,256,6.1,1,0,4,28,42
