team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Matt Haack,punting,6,299,49.8,0,4,65
ATL,Bradley Pinion,punting,5,210,42.0,0,3,48
BAL,Jordan Stout,punting,4,246,61.5,0,1,74
BUF,Mitch Wishnowsky,punting,3,136,45.3,0,0,48
CAR,Sam Martin,punting,4,201,50.3,1,2,55
CHI,Tory Taylor,punting,4,202,50.5,1,1,58
CIN,Ryan Rehkow,punting,5,227,45.4,1,3,60
CLE,Corey Bojorquez,punting,8,318,39.8,1,2,46
DAL,Bryan Anger,punting,3,168,56.0,0,1,62
DET,Jack Fox,punting,5,200,40.0,0,4,46
GB,Daniel Whelan,punting,4,190,47.5,0,3,63
HOU,Tommy Townsend,punting,6,286,47.7,0,4,57
IND,Rigoberto Sanchez,punting,6,294,49.0,0,5,59
JAX,Logan Cooke,punting,2,96,48.0,0,1,48
KC,Matt Araiza,punting,3,147,49.0,0,0,50
LAR,Ethan Evans,punting,3,105,35.0,0,1,51
LV,AJ Cole,punting,8,374,46.8,0,1,56
MIN,Ryan Wright,punting,4,222,55.5,0,2,59
NE,Bryce Baringer,punting,2,98,49.0,0,1,53
NO,Kai Kroeger,punting,3,106,35.3,0,1,39
NYG,Jamie Gillan,punting,3,120,40.0,0,1,44
NYJ,Austin McNamara,punting,4,152,38.0,1,3,47
PHI,Braden Mann,punting,5,250,50.0,0,3,58
PIT,Corliss Waitman,punting,3,106,35.3,0,0,39
SEA,Michael Dickson,punting,2,106,53.0,0,0,60
SF,Thomas Morstead,punting,1,40,40.0,0,0,40
TB,Riley Dixon,punting,4,169,42.3,1,0,55
TEN,Johnny Hekker,punting,3,135,45.0,0,0,49
