team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Chad Ryland,kicking,50.0,29,6,1,2,3,3
ATL,Zane Gonzalez,kicking,100.0,56,10,3,3,1,1
BAL,Tyler Loop,kicking,100.0,35,11,3,3,2,2
BUF,Matt Prater,kicking,100.0,44,7,2,2,1,2
CAR,Ryan Fitzgerald,kicking,50.0,25,3,1,2,0,0
CHI,Cairo Santos,kicking,100.0,47,7,1,1,4,4
CIN,Evan McPherson,kicking,100.0,63,8,2,2,2,2
CLE,Andre Szmyt,kicking,100.0,53,6,1,1,3,3
DAL,Brandon Aubrey,kicking,50.0,42,6,1,2,3,3
DET,Jake Bates,kicking,100.0,59,10,2,2,4,4
GB,Brandon McManus,kicking,100.0,40,11,3,3,2,2
HOU,Ka'imi Fairbairn,kicking,100.0,43,11,3,3,2,2
IND,Michael Badgley,kicking,100.0,32,8,2,2,2,2
JAX,Cam Little,kicking,100.0,52,9,2,2,3,3
KC,Harrison Butker,kicking,100.0,48,15,5,5,0,0
LAR,Harrison Mevis,kicking,100.0,52,10,2,2,4,4
LV,Daniel Carlson,kicking,50.0,41,4,1,2,1,1
MIN,Will Reichard,kicking,100.0,59,6,2,2,0,0
NE,Andy Borregales,kicking,100.0,52,14,4,4,2,2
NO,Blake Grupe,kicking,33.3,33,4,1,3,1,1
NYG,Younghoe Koo,kicking,100.0,44,9,2,2,3,3
NYJ,Nick Folk,kicking,100.0,42,4,1,1,1,1
PHI,Jake Elliott,kicking,0.0,0,3,0,1,3,3
PIT,Chris Boswell,kicking,0.0,0,4,0,0,4,4
SEA,Jason Myers,kicking,100.0,47,12,3,3,3,3
SF,Matt Gay,kicking,100.0,47,8,2,2,2,2
TB,Chase McLaughlin,kicking,0.0,0,1,0,0,1,1
TEN,Joey Slye,kicking,100.0,22,6,1,1,3,3
