week,opponent,result
1,CIN,WIN
2,NE,LOSS
3,CLE,LOSS
4,NYJ,LOSS
5,BUF,LOSS
6,TB,WIN
7,MIA,LOSS
8,PHI,LOSS
9,BYE,BYE
10,NO,WIN
11,CIN,LOSS
12,IND,WIN
13,ATL,WIN
14,BAL,LOSS
15,CAR,WIN
16,LV,WIN
17,BAL,WIN
18,CLE,WIN
