team,player,category,INT,YDS,TD
BUF,AJ Epenesa,interceptions,2,38,1
BUF,Christian Benford,interceptions,2,8,0
BUF,Ed Oliver,interceptions,1,0,0
BUF,Matt Milano,interceptions,2,16,0
BUF,Micah Hyde,interceptions,2,24,0
BUF,Rasul Douglas,interceptions,4,58,1
BUF,Taylor Rapp,interceptions,1,0,0
BUF,Terrel Bernard,interceptions,3,2,0
BUF,Tre'Davious White,interceptions,1,2,0
