team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,1,40,40.0,0,1,40
ATL,Bradley Pinion,punting,3,144,48.0,0,1,57
BAL,Jordan Stout,punting,5,231,46.2,0,2,54
BUF,Sam Martin,punting,2,109,54.5,0,2,61
CAR,Johnny Hekker,punting,7,337,48.1,0,3,55
CHI,Tory Taylor,punting,8,335,41.9,1,2,62
CIN,Ryan Rehkow,punting,3,124,41.3,0,2,46
DAL,Bryan Anger,punting,6,304,50.7,0,2,59
DEN,Riley Dixon,punting,5,236,47.2,0,1,57
DET,Jack Fox,punting,4,188,47.0,0,1,60
HOU,Tommy Townsend,punting,5,275,55.0,0,2,62
IND,Rigoberto Sanchez,punting,2,108,54.0,0,1,55
JAX,Logan Cooke,punting,5,274,54.8,1,4,68
KC,Matt Araiza,punting,4,213,53.3,2,1,64
LAC,JK Scott,punting,3,116,38.7,0,1,47
LAR,Ethan Evans,punting,3,148,49.3,0,2,51
MIA,Jake Bailey,punting,3,134,44.7,0,1,51
MIN,Ryan Wright,punting,2,72,36.0,0,1,43
NE,Bryce Baringer,punting,5,285,57.0,2,1,75
NO,Matthew Hayball,punting,5,224,44.8,0,4,51
NYG,Jamie Gillan,punting,5,204,40.8,0,4,46
NYJ,Thomas Morstead,punting,2,93,46.5,0,1,47
PHI,Braden Mann,punting,4,208,52.0,2,1,55
PIT,Corliss Waitman,punting,5,212,42.4,0,3,51
SF,Mitch Wishnowsky,punting,1,35,35.0,0,1,35
TB,Trenton Gill,punting,6,273,45.5,0,2,50
TEN,Ryan Stonehouse,punting,4,214,53.5,0,3,58
WSH,Tress Way,punting,6,330,55.0,1,2,74
