team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Chad Ryland,kicking,100.0,37,7,1,1,4,4
ATL,Younghoe Koo,kicking,25.0,27,5,1,4,2,2
BAL,Justin Tucker,kicking,0.0,0,3,0,0,3,4
BUF,Tyler Bass,kicking,100.0,47,12,3,3,3,3
CAR,Eddy Pineiro,kicking,100.0,53,8,2,2,2,2
CHI,Cairo Santos,kicking,100.0,33,3,1,1,0,0
CIN,Evan McPherson,kicking,0.0,0,4,0,0,4,4
DAL,Brandon Aubrey,kicking,100.0,46,6,2,2,0,0
DEN,Wil Lutz,kicking,0.0,0,2,0,2,2,2
DET,Jake Bates,kicking,100.0,58,8,2,2,2,2
HOU,Ka'imi Fairbairn,kicking,75.0,56,11,3,4,2,2
IND,Matt Gay,kicking,100.0,27,8,2,2,2,2
JAX,Cam Little,kicking,0.0,0,1,0,0,1,1
KC,Harrison Butker,kicking,100.0,36,10,3,3,1,1
LAC,Cameron Dicker,kicking,100.0,37,9,2,2,3,3
LAR,Joshua Karty,kicking,83.0,55,15,5,6,0,0
MIA,Jason Sanders,kicking,100.0,50,11,3,3,2,2
MIN,Parker Romo,kicking,100.0,45,12,4,4,0,0
NE,Joey Slye,kicking,100.0,37,13,4,4,1,1
NO,Blake Grupe,kicking,100.0,38,8,2,2,2,2
NYG,Graham Gano,kicking,50.0,42,5,1,2,2,2
NYJ,Spencer Shrader,kicking,100.0,45,6,2,2,0,0
PHI,Jake Elliott,kicking,100.0,39,10,2,2,4,4
PIT,Chris Boswell,kicking,0.0,0,4,0,0,4,4
SF,Jake Moody,kicking,50.0,44,11,3,6,2,2
TB,Chase McLaughlin,kicking,100.0,30,8,2,2,2,2
TEN,Nick Folk,kicking,50.0,27,5,1,2,2,2
WSH,Zane Gonzalez,kicking,100.0,48,9,2,2,3,3
