team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,266,11.1,1,0,1,22,24
ATL,Kirk Cousins,passing,306,8.1,0,1,3,23,38
BAL,Lamar Jackson,passing,290,8.8,4,0,0,25,33
BUF,Josh Allen,passing,280,7.6,0,2,2,22,37
CAR,Bryce Young,passing,126,5.0,1,0,1,15,25
CHI,Caleb Williams,passing,120,4.0,0,0,9,16,30
CIN,Joe Burrow,passing,428,7.6,4,0,3,34,56
DAL,Trey Lance,passing,21,3.5,0,1,2,4,6
DAL,Cooper Rush,passing,45,2.0,0,0,1,13,23
DEN,Bo Nix,passing,215,7.2,2,0,2,22,30
DET,Jared Goff,passing,240,8.0,2,5,0,15,30
HOU,C.J. Stroud,passing,232,7.0,1,2,4,19,33
IND,Joe Flacco,passing,272,7.8,2,3,4,26,35
JAX,Mac Jones,passing,111,5.0,0,2,3,14,22
KC,Patrick Mahomes,passing,266,6.3,1,0,4,28,42
LAC,Justin Herbert,passing,164,9.1,1,0,0,14,18
LAR,Matthew Stafford,passing,293,6.4,0,1,4,32,46
MIA,Tua Tagovailoa,passing,207,7.4,1,1,3,20,28
MIN,Sam Darnold,passing,241,6.3,0,3,1,24,38
NE,Drake Maye,passing,184,7.4,1,1,1,15,25
NO,Derek Carr,passing,269,10.8,2,0,0,16,25
NYG,Daniel Jones,passing,190,5.1,0,2,2,22,37
NYJ,Aaron Rodgers,passing,151,4.3,0,0,3,22,35
PHI,Jalen Hurts,passing,202,10.1,2,1,5,14,20
PHI,Kenny Pickett,passing,5,2.5,0,0,0,1,2
PIT,Russell Wilson,passing,195,7.0,3,1,3,14,28
PIT,Miles Killebrew,passing,0,0.0,0,0,0,0,1
SF,Brock Purdy,passing,353,9.8,2,0,3,25,36
TB,Baker Mayfield,passing,116,4.0,1,0,2,18,29
TEN,Will Levis,passing,175,7.6,2,0,7,18,23
WSH,Jayden Daniels,passing,202,5.9,0,0,3,17,34
