week,opponent,result
1,NYJ,WIN
2,MIA,LOSS
3,NE,WIN
4,BUF,LOSS
5,CIN,WIN
6,NYG,LOSS
7,CLE,WIN
8,TB,WIN
9,NO,WIN
10,BYE,BYE
11,CAR,WIN
12,JAX,LOSS
13,DEN,WIN
14,PIT,WIN
15,CLE,LOSS
16,ATL,WIN
17,PIT,LOSS
18,CIN,LOSS
