team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Jacoby Brissett,passing,279,7.8,2,0,6,25,36
ATL,Michael Penix Jr.,passing,241,6.3,1,0,2,21,38
CAR,Andy Dalton,passing,60,8.6,0,0,1,4,7
CAR,Bryce Young,passing,138,5.5,1,0,1,15,25
CHI,Caleb Williams,passing,172,6.6,0,1,1,15,26
CIN,Joe Flacco,passing,342,7.3,3,0,2,31,47
CLE,Dillon Gabriel,passing,116,6.4,0,0,2,13,18
DAL,Dak Prescott,passing,264,8.8,3,0,1,21,30
DEN,Bo Nix,passing,279,5.6,2,0,2,27,50
DET,Jared Goff,passing,241,8.3,1,1,4,20,29
GB,Jordan Love,passing,179,6.2,1,0,1,19,29
HOU,C.J. Stroud,passing,229,4.7,1,1,3,23,49
IND,Daniel Jones,passing,288,8.5,2,0,1,23,34
JAX,Trevor Lawrence,passing,296,6.2,1,0,7,23,48
KC,Patrick Mahomes,passing,286,8.2,3,0,1,26,35
LAC,Justin Herbert,passing,420,7.6,3,2,3,37,55
LAR,Matthew Stafford,passing,182,5.5,5,0,0,21,33
LV,Kenny Pickett,passing,8,4.0,0,0,0,2,2
LV,Geno Smith,passing,67,4.2,0,0,1,10,16
MIA,Quinn Ewers,passing,53,6.6,0,0,2,5,8
MIA,Tua Tagovailoa,passing,100,4.3,0,3,2,12,23
MIN,Carson Wentz,passing,313,7.5,0,2,2,26,42
NE,Joshua Dobbs,passing,12,12.0,0,0,0,1,1
NE,Drake Maye,passing,222,9.7,2,0,4,21,23
NO,Spencer Rattler,passing,233,7.3,2,3,4,20,32
NYG,Jaxson Dart,passing,283,8.6,3,1,4,15,33
NYJ,Justin Fields,passing,46,3.8,0,0,3,6,12
NYJ,Tyrod Taylor,passing,126,5.7,0,2,3,10,22
PHI,Jalen Hurts,passing,326,14.2,3,0,3,19,23
PIT,Aaron Rodgers,passing,249,7.3,4,2,0,23,34
SEA,Sam Darnold,passing,213,6.9,1,1,2,17,31
SEA,Cooper Kupp,passing,0,0.0,0,1,0,0,1
SF,Mac Jones,passing,152,5.8,0,1,1,17,26
TB,Baker Mayfield,passing,228,4.6,1,1,4,28,50
TEN,Cam Ward,passing,255,7.5,1,1,5,25,34
WSH,Jayden Daniels,passing,156,7.1,1,0,2,12,22
WSH,Marcus Mariota,passing,63,6.3,0,1,2,4,10
