team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Chad Ryland,kicking,100.0,40,11,3,3,2,2
ATL,Parker Romo,kicking,100.0,38,4,1,1,1,1
CAR,Ryan Fitzgerald,kicking,100.0,30,7,2,2,1,1
CHI,Jake Moody,kicking,100.0,39,14,4,4,2,2
CIN,Evan McPherson,kicking,100.0,49,15,4,4,3,3
CLE,Andre Szmyt,kicking,100.0,30,7,1,1,4,4
DAL,Brandon Aubrey,kicking,100.0,61,14,3,3,5,5
DEN,Wil Lutz,kicking,100.0,39,5,1,1,2,2
DET,Jake Bates,kicking,50.0,58,6,1,2,3,3
GB,Lucas Havrisik,kicking,100.0,61,9,2,2,3,3
HOU,Ka'imi Fairbairn,kicking,100.0,46,7,2,2,1,1
IND,Michael Badgley,kicking,100.0,36,6,1,1,3,4
JAX,Cam Little,kicking,0.0,0,1,0,1,1,1
KC,Harrison Butker,kicking,100.0,38,7,1,1,4,4
LAC,Cameron Dicker,kicking,100.0,43,6,1,1,3,3
LAR,Joshua Karty,kicking,0.0,0,5,0,0,5,5
MIA,Riley Patterson,kicking,100.0,33,6,2,2,0,0
MIN,Will Reichard,kicking,100.0,59,16,5,5,1,1
NE,Andy Borregales,kicking,100.0,36,7,1,1,4,4
NO,Blake Grupe,kicking,0.0,0,2,0,1,2,2
NYG,Jude McAtamney,kicking,0.0,0,2,0,0,2,4
NYJ,Nick Folk,kicking,100.0,47,6,2,2,0,0
PHI,Jake Elliott,kicking,0.0,0,4,0,1,4,4
PIT,Chris Boswell,kicking,100.0,41,7,1,1,4,4
SEA,Jason Myers,kicking,66.7,47,9,2,3,3,3
SF,Eddy Pineiro,kicking,100.0,55,8,2,2,2,2
TB,Chase McLaughlin,kicking,100.0,53,3,1,1,0,0
TEN,Joey Slye,kicking,100.0,50,7,2,2,1,1
WSH,Matt Gay,kicking,0.0,0,2,0,0,2,2
