team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Chad Ryland,kicking,50.0,28,4,1,2,1,1
ATL,Younghoe Koo,kicking,100.0,29,7,2,2,1,1
BUF,Tyler Bass,kicking,0.0,0,5,0,0,6,6
CAR,Eddy Pineiro,kicking,100.0,38,4,1,1,1,2
CHI,Cairo Santos,kicking,0.0,0,1,0,0,1,1
CIN,Cade York,kicking,100.0,37,9,2,2,3,3
CLE,Dustin Hopkins,kicking,0.0,0,2,0,2,2,2
DAL,Brandon Aubrey,kicking,100.0,47,8,2,2,2,2
DET,Jake Bates,kicking,100.0,43,10,2,2,4,4
GB,Brandon McManus,kicking,100.0,32,7,1,1,4,4
JAX,Cam Little,kicking,100.0,23,4,1,1,1,1
KC,Matthew Wright,kicking,100.0,50,13,4,4,1,1
LAC,Cameron Dicker,kicking,100.0,37,5,1,1,2,2
LAR,Joshua Karty,kicking,100.0,22,8,1,1,5,6
LV,Daniel Carlson,kicking,100.0,27,7,2,2,1,1
MIA,Jason Sanders,kicking,100.0,57,12,4,4,0,1
MIN,Will Reichard,kicking,0.0,0,6,0,1,6,6
NO,Blake Grupe,kicking,0.0,0,2,0,2,2,2
NYG,Graham Gano,kicking,50.0,43,3,1,2,0,0
NYJ,Anders Carlson,kicking,100.0,42,14,4,4,2,2
PHI,Jake Elliott,kicking,0.0,0,2,0,1,2,2
PIT,Chris Boswell,kicking,100.0,54,9,2,2,3,3
SEA,Jason Myers,kicking,100.0,36,12,3,3,3,3
SF,Jake Moody,kicking,100.0,23,8,1,1,5,5
TB,Chase McLaughlin,kicking,0.0,0,4,0,0,4,4
TEN,Nick Folk,kicking,100.0,46,6,2,2,0,0
