team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,259,6.8,2,2,2,25,38
ATL,Kirk Cousins,passing,344,9.3,0,2,1,23,37
BUF,Josh Allen,passing,342,9.2,3,0,0,22,37
CAR,Bryce Young,passing,191,5.6,1,1,1,19,34
CHI,Tyson Bagent,passing,6,6.0,0,0,0,1,1
CHI,Caleb Williams,passing,134,5.8,2,0,7,17,23
CIN,Joe Burrow,passing,369,8.4,3,1,2,33,44
CLE,Jameis Winston,passing,212,5.2,2,2,3,24,41
DAL,Cooper Rush,passing,183,5.9,2,1,3,16,31
DET,Jared Goff,passing,283,6.9,3,1,1,32,41
GB,Jordan Love,passing,206,10.3,1,0,1,12,20
JAX,Mac Jones,passing,220,7.1,0,2,1,23,31
KC,Patrick Mahomes,passing,210,5.7,1,0,3,24,37
LAC,Justin Herbert,passing,213,7.1,1,0,3,21,30
LAR,Matthew Stafford,passing,320,10.7,2,0,0,23,30
LV,Aidan O'Connell,passing,104,5.5,0,1,1,11,19
LV,Desmond Ridder,passing,101,5.6,0,0,1,12,18
MIA,Tua Tagovailoa,passing,331,7.0,2,0,0,33,47
MIN,Sam Darnold,passing,347,12.4,5,0,4,22,28
NO,Jake Haener,passing,0,0.0,0,0,1,0,0
NO,Derek Carr,passing,219,7.1,1,1,1,20,31
NYG,Drew Lock,passing,227,4.6,0,1,2,21,49
NYJ,Aaron Rodgers,passing,339,8.7,1,0,3,27,39
PHI,Jalen Hurts,passing,108,5.1,2,0,4,14,21
PIT,Russell Wilson,passing,158,6.1,2,0,1,15,26
SEA,Geno Smith,passing,233,7.8,1,0,0,24,30
SF,Brock Purdy,passing,325,13.0,2,0,1,20,25
SF,Brandon Allen,passing,0,0.0,0,1,0,0,1
TB,Baker Mayfield,passing,295,10.2,3,2,4,18,29
TEN,Will Levis,passing,168,5.3,0,0,2,19,32
