team,player,category,CAR,YDS,AVG,TD,LONG
BAL,Devin Duvernay,rushing,7,50,7.14,0,19
BAL,Devonta Freeman,rushing,133,576,4.52,5,32
BAL,Hollywood Brown,rushing,1,5,5.0,0,5
BAL,Josh Johnson,rushing,5,10,2.0,0,7
BAL,Lamar Jackson,rushing,133,767,5.64,2,31
BAL,Latavius Murray,rushing,119,501,3.56,6,46
BAL,Le'Veon Bell,rushing,31,83,2.16,2,12
BAL,Mark Andrews,rushing,1,0,0.0,0,0
BAL,Nate McCrary,rushing,1,-1,-1.0,0,-1
BAL,Patrick Ricard,rushing,2,4,2.0,0,2
BAL,Trenton Cannon,rushing,2,5,2.5,0,3
BAL,Ty'Son Williams,rushing,35,185,4.14,1,35
BAL,Tyler Huntley,rushing,47,294,6.18,2,21
