team,player,category,REC,YDS,AVG,TD,LONG,TGTS
BAL,Charlie Kolar,receiving,10,142,10.86,2,23,15
BAL,DeAndre Hopkins,receiving,22,330,11.16,2,41,39
BAL,Derrick Henry,receiving,15,150,8.81,0,44,21
BAL,Devontez Walker,receiving,6,136,20.0,3,38,8
BAL,Isaiah Likely,receiving,27,307,10.48,1,43,37
BAL,Justice Hill,receiving,21,169,8.16,1,37,27
BAL,Keaton Mitchell,receiving,9,63,6.0,0,17,12
BAL,Mark Andrews,receiving,48,422,8.5,5,27,70
BAL,Patrick Ricard,receiving,1,8,4.0,0,8,2
BAL,Rasheen Ali,receiving,9,68,8.3,1,30,11
BAL,Rashod Bateman,receiving,19,224,9.05,2,36,38
BAL,Tylan Wallace,receiving,4,45,5.42,1,15,8
BAL,Zaire Mitchell-Paden,receiving,1,3,1.5,0,3,2
BAL,Zay Flowers,receiving,86,1211,14.34,5,64,118
