team,player,category,NO,YDS,AVG,TB,In 20,LONG
ATL,Bradley Pinion,punting,3,128,42.7,0,0,45
BAL,Jordan Stout,punting,2,71,35.5,0,0,38
BUF,Sam Martin,punting,6,289,48.2,0,6,53
CAR,Johnny Hekker,punting,6,297,49.5,1,1,52
CHI,Trenton Gill,punting,4,195,48.8,1,0,53
CIN,Brad Robbins,punting,4,190,47.5,0,1,53
CLE,Matt Haack,punting,3,155,51.7,0,0,56
DAL,Bryan Anger,punting,4,181,45.3,0,1,50
DEN,Riley Dixon,punting,5,243,48.6,1,3,63
DET,Jack Fox,punting,4,195,48.8,1,2,70
GB,Daniel Whelan,punting,2,99,49.5,0,0,54
HOU,Cameron Johnston,punting,3,155,51.7,0,1,54
IND,Rigoberto Sanchez,punting,3,149,49.7,0,0,51
JAX,Logan Cooke,punting,3,140,46.7,0,1,53
KC,Tommy Townsend,punting,1,57,57.0,0,1,57
LAC,JK Scott,punting,4,184,46.0,0,2,61
LAR,Ethan Evans,punting,5,287,57.4,1,2,72
LV,AJ Cole,punting,5,187,37.4,0,4,56
MIA,Jake Bailey,punting,3,158,52.7,1,1,62
MIN,Ryan Wright,punting,4,205,51.3,1,1,68
NE,Bryce Baringer,punting,4,176,44.0,0,1,57
NO,Lou Hedley,punting,6,268,44.7,0,3,51
NYG,Jamie Gillan,punting,5,222,44.4,0,1,52
NYJ,Thomas Morstead,punting,5,213,42.6,1,3,57
PHI,Braden Mann,punting,2,117,58.5,0,0,61
PIT,Pressley Harvin III,punting,1,46,46.0,0,1,46
SEA,Michael Dickson,punting,3,159,53.0,2,0,66
SF,Mitch Wishnowsky,punting,2,76,38.0,0,2,40
TB,Jake Camarda,punting,5,207,41.4,0,1,51
TEN,Ty Zentner,punting,5,248,49.6,0,2,64
WSH,Tress Way,punting,3,156,52.0,0,1,55
