team,player,category,INT,YDS,TD
ARI,Joey Blount,interceptions,1,0,0
BAL,Roquan Smith,interceptions,1,30,0
BAL,Geno Stone,interceptions,1,4,0
BUF,Rasul Douglas,interceptions,2,50,1
BUF,Ed Oliver,interceptions,1,0,0
CHI,Tyrique Stevenson,interceptions,2,7,0
CHI,T.J. Edwards,interceptions,1,2,0
CHI,Kyler Gordon,interceptions,1,0,0
CLE,Ronnie Hickman,interceptions,1,30,1
DAL,Jourdan Lewis,interceptions,1,0,0
DAL,Donovan Wilson,interceptions,1,0,0
DET,Ifeatu Melifonwu,interceptions,1,24,0
GB,Corey Ballentine,interceptions,1,0,0
JAX,Antonio Johnson,interceptions,1,27,0
LAR,Jordan Fuller,interceptions,1,0,0
NE,Alex Austin,interceptions,1,0,0
NO,Johnathan Abram,interceptions,1,0,0
NO,Alontae Taylor,interceptions,1,0,0
NYG,Dane Belton,interceptions,2,22,0
NYJ,Jermaine Johnson II,interceptions,1,37,1
PHI,Sydney Brown,interceptions,1,99,1
SF,Charvarius Ward,interceptions,1,3,0
SF,Deommodore Lenoir,interceptions,1,0,0
