team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,100.0,53,13,4,4,1,1
ATL,Younghoe Koo,kicking,100.0,28,7,2,2,1,1
BAL,Justin Tucker,kicking,100.0,46,13,4,4,1,1
BUF,Tyler Bass,kicking,0.0,0,3,0,0,3,3
CAR,Lirim Hajrullahu,kicking,50.0,32,4,1,2,1,1
CHI,Cairo Santos,kicking,100.0,44,9,2,2,3,3
CIN,Evan McPherson,kicking,100.0,46,10,2,2,4,4
CLE,Chase McLaughlin,kicking,0.0,0,2,0,0,2,2
DAL,Greg Zuerlein,kicking,0.0,0,2,0,1,2,2
DEN,Brandon McManus,kicking,100.0,61,7,2,2,1,1
DET,Riley Patterson,kicking,0.0,0,3,0,1,3,3
GB,Mason Crosby,kicking,100.0,37,13,3,3,4,4
HOU,Ka'imi Fairbairn,kicking,0.0,0,1,0,1,1,1
IND,Michael Badgley,kicking,100.0,46,8,2,2,2,2
JAX,Matthew Wright,kicking,100.0,29,4,1,1,1,1
KC,Harrison Butker,kicking,100.0,34,7,1,1,4,4
LAC,Dustin Hopkins,kicking,100.0,23,10,2,2,4,4
LAR,Matt Gay,kicking,0.0,0,2,0,1,2,2
LV,Daniel Carlson,kicking,100.0,47,11,3,3,2,2
MIA,Jason Sanders,kicking,50.0,39,3,1,2,0,0
MIN,Greg Joseph,kicking,100.0,51,4,1,1,1,1
NE,Nick Folk,kicking,100.0,43,8,1,1,5,6
NO,Brett Maher,kicking,100.0,41,12,4,4,0,1
NYG,Graham Gano,kicking,100.0,38,3,1,1,0,0
NYJ,Eddy Pineiro,kicking,100.0,51,6,1,1,3,3
PHI,Jake Elliott,kicking,100.0,42,8,2,2,2,2
PIT,Chris Boswell,kicking,100.0,50,14,4,4,2,2
SEA,Jason Myers,kicking,100.0,51,15,3,3,6,6
SF,Robbie Gould,kicking,100.0,37,11,3,3,2,2
TB,Ryan Succop,kicking,100.0,39,8,2,2,2,2
TEN,Randy Bullock,kicking,100.0,44,10,2,2,4,4
WSH,Joey Slye,kicking,100.0,55,10,3,3,1,1
