team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,3,121,40.3,0,1,47
ATL,Thomas Morstead,punting,4,159,39.8,1,1,48
BAL,Sam Koch,punting,3,139,46.3,0,2,61
CAR,Lachlan Edwards,punting,5,235,47.0,0,1,62
CHI,Pat O'Donnell,punting,5,227,45.4,1,1,56
CIN,Kevin Huber,punting,3,118,39.3,0,0,51
CLE,Dustin Colquitt,punting,8,342,42.8,1,2,55
DAL,Bryan Anger,punting,4,195,48.8,0,2,57
DEN,Sam Martin,punting,3,137,45.7,0,1,56
DET,Jack Fox,punting,3,132,44.0,0,0,57
GB,Corey Bojorquez,punting,2,63,31.5,1,0,39
HOU,Cameron Johnston,punting,7,328,46.9,1,1,53
IND,Rigoberto Sanchez,punting,5,223,44.6,0,1,55
JAX,JK Scott,punting,4,159,39.8,0,0,47
KC,Tommy Townsend,punting,3,108,36.0,0,1,42
LAC,Ty Long,punting,3,115,38.3,0,2,48
LAR,Johnny Hekker,punting,2,92,46.0,0,2,53
LV,AJ Cole,punting,2,104,52.0,1,1,60
MIA,Michael Palardy,punting,4,147,36.8,0,1,42
MIN,Jordan Berry,punting,6,296,49.3,0,1,64
NE,Jake Bailey,punting,1,40,40.0,0,1,40
NO,Blake Gillikin,punting,5,215,43.0,1,3,63
NYG,Riley Dixon,punting,4,156,39.0,0,1,46
NYJ,Braden Mann,punting,4,154,38.5,0,2,46
PHI,Arryn Siposs,punting,2,74,37.0,0,2,39
PIT,Corliss Waitman,punting,5,244,48.8,0,1,53
SEA,Michael Dickson,punting,1,45,45.0,0,0,45
SF,Mitch Wishnowsky,punting,4,159,39.8,0,2,52
TB,Sterling Hofrichter,punting,3,104,34.7,0,2,39
TEN,Brett Kern,punting,4,177,44.3,0,3,52
WSH,Ryan Winslow,punting,2,84,42.0,0,0,46
