team,player,category,FUM,LOST
LAC,Bradley Bozeman,fumbles,1,0
LAC,Derius Davis,fumbles,3,0
LAC,Derwin James Jr.,fumbles,0,0
LAC,Elijah Molden,fumbles,0,0
LAC,Gus Edwards,fumbles,0,0
LAC,Hassan Haskins,fumbles,1,1
LAC,JK Scott,fumbles,1,0
LAC,Ja'Sir Taylor,fumbles,0,0
LAC,Jalen Reagor,fumbles,1,1
LAC,Josh Harris,fumbles,1,0
LAC,Justin Herbert,fumbles,6,2
LAC,Khalil Mack,fumbles,0,0
LAC,Kimani Vidal,fumbles,1,0
LAC,Kristian Fulton,fumbles,1,0
LAC,Ladd McConkey,fumbles,2,0
LAC,Rashawn Slater,fumbles,0,0
LAC,Shaq Quarterman,fumbles,0,0
LAC,Stone Smartt,fumbles,1,1
LAC,Teair Tart,fumbles,1,1
