team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Chad Ryland,kicking,50.0,38,5,1,2,2,2
ATL,Zane Gonzalez,kicking,75.0,43,10,3,4,0,0
BAL,Tyler Loop,kicking,100.0,36,10,3,3,1,2
BUF,Matt Prater,kicking,100.0,26,7,1,1,4,4
CHI,Cairo Santos,kicking,100.0,41,7,2,2,1,1
CIN,Evan McPherson,kicking,0.0,0,4,0,0,4,4
CLE,Andre Szmyt,kicking,100.0,38,5,1,1,2,2
DAL,Brandon Aubrey,kicking,100.0,63,16,5,5,1,1
DEN,Wil Lutz,kicking,100.0,23,6,1,1,3,3
DET,Jake Bates,kicking,75.0,47,14,3,4,5,5
GB,Brandon McManus,kicking,0.0,0,4,0,0,4,4
HOU,Ka'imi Fairbairn,kicking,100.0,35,8,2,2,2,2
IND,Blake Grupe,kicking,100.0,36,7,2,2,1,1
JAX,Cam Little,kicking,100.0,48,10,2,2,4,4
KC,Harrison Butker,kicking,50.0,36,4,1,2,1,1
LAC,Cameron Dicker,kicking,100.0,54,16,5,5,1,1
LAR,Harrison Mevis,kicking,100.0,26,9,1,1,6,6
LV,Daniel Carlson,kicking,100.0,46,5,1,1,2,2
MIA,Riley Patterson,kicking,100.0,53,10,2,2,4,4
MIN,Will Reichard,kicking,100.0,45,7,1,1,4,4
NO,Charlie Smyth,kicking,50.0,30,6,1,2,3,3
NYJ,Nick Folk,kicking,100.0,31,4,1,1,1,1
PHI,Jake Elliott,kicking,80.0,54,13,4,5,1,1
PIT,Chris Boswell,kicking,100.0,28,9,2,2,3,3
SEA,Jason Myers,kicking,100.0,48,12,3,3,4,4
TB,Chase McLaughlin,kicking,100.0,41,8,2,2,2,2
TEN,Joey Slye,kicking,100.0,41,7,1,1,4,4
