team,player,category,INT,YDS,TD
ATL,Mike Hughes,interceptions,1,6,0
BUF,Christian Benford,interceptions,1,63,1
BUF,AJ Epenesa,interceptions,1,1,0
CHI,C.J. Gardner-Johnson,interceptions,1,28,0
CLE,Devin Bush,interceptions,1,44,0
DET,Derrick Barnes,interceptions,1,23,0
DET,D.J. Reed,interceptions,1,0,0
GB,Keisean Nixon,interceptions,1,0,0
HOU,Jalen Pitre,interceptions,1,-2,0
HOU,Kamari Lassiter,interceptions,1,0,0
HOU,Azeez Al-Shaair,interceptions,1,0,0
JAX,Greg Newsome II,interceptions,1,0,0
JAX,Devin Lloyd,interceptions,1,6,0
LAC,Da'Shawn Hand,interceptions,1,7,0
LAC,Cam Hart,interceptions,1,27,0
LAC,Tony Jefferson,interceptions,1,3,0
LAC,Donte Jackson,interceptions,1,6,0
LAR,Nate Landman,interceptions,1,0,0
MIA,Ethan Bonner,interceptions,1,0,0
MIA,Tyrel Dodson,interceptions,1,0,0
MIA,Rasul Douglas,interceptions,1,5,0
MIN,Harrison Smith,interceptions,1,11,0
MIN,Andrew Van Ginkel,interceptions,1,40,0
NO,Alontae Taylor,interceptions,1,10,0
PHI,Adoree' Jackson,interceptions,1,1,0
PIT,James Pierre,interceptions,1,9,0
SEA,Nick Emmanwori,interceptions,1,0,0
SEA,Devon Witherspoon,interceptions,1,3,0
TB,Zyon McCollum,interceptions,1,19,0
TEN,Xavier Woods,interceptions,1,35,0
