team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Jacoby Brissett,passing,271,6.2,2,1,3,25,44
ATL,Kirk Cousins,passing,162,5.4,0,2,1,15,30
BAL,Lamar Jackson,passing,219,6.3,1,1,2,19,35
BUF,Josh Allen,passing,251,9.0,3,0,3,22,28
CHI,Caleb Williams,passing,186,5.3,2,1,1,19,35
CIN,Joe Burrow,passing,284,7.9,4,2,1,25,36
CLE,Shedeur Sanders,passing,364,8.7,3,1,2,23,42
DAL,Dak Prescott,passing,376,8.0,1,2,5,31,47
DEN,Bo Nix,passing,212,5.6,0,0,3,31,38
DET,Jared Goff,passing,309,9.1,1,0,1,25,34
GB,Jordan Love,passing,234,9.4,3,1,1,17,25
HOU,C.J. Stroud,passing,203,6.5,1,0,3,15,31
IND,Daniel Jones,passing,60,8.6,0,1,0,5,7
IND,Riley Leonard,passing,145,5.0,0,1,1,18,29
JAX,Trevor Lawrence,passing,244,8.1,2,0,0,17,30
JAX,Nick Mullens,passing,3,3.0,0,0,0,1,1
KC,Patrick Mahomes,passing,160,4.8,0,3,2,14,33
LAC,Justin Herbert,passing,139,5.3,1,1,7,12,26
LAR,Matthew Stafford,passing,281,9.1,3,0,0,22,31
LV,Kenny Pickett,passing,97,8.8,1,0,1,8,11
LV,Geno Smith,passing,116,5.5,1,0,3,13,21
MIA,Tua Tagovailoa,passing,127,6.0,1,0,1,13,21
MIN,J.J. McCarthy,passing,163,7.1,3,0,4,16,23
NO,Tyler Shough,passing,144,7.2,0,1,3,13,20
NYJ,Tyrod Taylor,passing,6,1.5,0,1,0,1,4
NYJ,Brady Cook,passing,163,5.4,0,2,6,14,30
PHI,Jalen Hurts,passing,240,6.0,0,4,1,21,40
PIT,Aaron Rodgers,passing,284,8.4,1,0,0,23,34
SEA,Sam Darnold,passing,249,8.3,3,1,2,20,30
TB,Baker Mayfield,passing,122,4.1,1,1,0,14,30
TEN,Cam Ward,passing,117,4.2,2,1,1,14,28
WSH,Marcus Mariota,passing,30,7.5,0,1,1,2,4
WSH,Jayden Daniels,passing,78,3.9,0,1,1,9,20
