team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Matt Haack,punting,5,271,54.2,0,2,57
ATL,Bradley Pinion,punting,2,84,42.0,0,2,45
BAL,Jordan Stout,punting,2,102,51.0,0,0,54
CHI,Tory Taylor,punting,4,208,52.0,1,2,63
CIN,Ryan Rehkow,punting,2,79,39.5,0,0,57
CLE,Corey Bojorquez,punting,6,222,37.0,0,1,42
DAL,Bryan Anger,punting,1,62,62.0,0,0,62
DEN,Jeremy Crawshaw,punting,1,35,35.0,0,1,35
DET,Jack Fox,punting,2,84,42.0,0,1,42
GB,Daniel Whelan,punting,3,145,48.3,0,1,55
HOU,Tommy Townsend,punting,8,329,41.1,0,3,56
IND,Rigoberto Sanchez,punting,2,101,50.5,0,0,54
JAX,Logan Cooke,punting,3,137,45.7,0,1,50
KC,Matt Araiza,punting,4,188,47.0,0,3,57
LAC,JK Scott,punting,5,256,51.2,0,1,57
LAR,Ethan Evans,punting,3,140,46.7,2,0,56
LV,AJ Cole,punting,3,143,47.7,0,2,58
MIA,Jake Bailey,punting,6,259,43.2,0,1,58
MIN,Ryan Wright,punting,1,43,43.0,0,0,43
NO,Kai Kroeger,punting,3,152,50.7,1,0,54
NYJ,Austin McNamara,punting,6,326,54.3,2,2,72
PHI,Braden Mann,punting,3,155,51.7,1,0,60
PIT,Corliss Waitman,punting,4,197,49.3,0,1,53
SEA,Michael Dickson,punting,3,148,49.3,0,2,52
TB,Riley Dixon,punting,1,31,31.0,0,1,31
TEN,Johnny Hekker,punting,8,383,47.9,2,2,54
WSH,Tress Way,punting,3,140,46.7,0,1,49
