week,opponent,result
1,KC,WIN
2,SEA,LOSS
3,ATL,WIN
4,GB,WIN
5,CAR,WIN
6,TB,WIN
7,BAL,LOSS
8,LV,WIN
9,BYE,BYE
10,LAC,WIN
11,CHI,WIN
12,GB,LOSS
13,NO,WIN
14,CHI,LOSS
15,DEN,WIN
16,MIN,WIN
17,DAL,LOSS
18,MIN,WIN
