team,player,category,REC,YDS,AVG,TD,LONG,TGTS
CIN,Andrei Iosivas,receiving,33,435,12.05,2,37,58
CIN,Cam Grandy,receiving,2,7,3.5,0,6,2
CIN,Charlie Jones,receiving,0,0,0.0,0,0,1
CIN,Chase Brown,receiving,69,437,6.43,5,23,88
CIN,Cody Ford,receiving,1,21,21.0,0,21,1
CIN,Drew Sample,receiving,15,106,5.75,1,27,20
CIN,Ja'Marr Chase,receiving,125,1412,11.48,8,64,185
CIN,Ke'Shawn Williams,receiving,1,5,5.0,0,5,1
CIN,Mike Gesicki,receiving,28,307,10.57,2,37,42
CIN,Mitchell Tinsley,receiving,8,116,11.31,2,27,24
CIN,Noah Fant,receiving,34,288,8.13,3,25,41
CIN,Samaje Perine,receiving,17,87,4.8,0,16,21
CIN,Tahj Brooks,receiving,1,9,4.5,0,9,2
CIN,Tanner Hudson,receiving,19,168,9.86,2,33,24
CIN,Tee Higgins,receiving,59,846,15.91,11,44,98
