week,opponent,result
1,LAC,LOSS
2,BAL,WIN
3,CAR,LOSS
4,CLE,WIN
5,DEN,LOSS
6,PIT,LOSS
7,LAR,LOSS
8,KC,LOSS
9,CIN,LOSS
10,BYE,BYE
11,MIA,LOSS
12,DEN,LOSS
13,KC,LOSS
14,TB,LOSS
15,ATL,LOSS
16,JAX,WIN
17,NO,WIN
18,LAC,LOSS
