team,player,category,INT,YDS,TD
ARI,Zaven Collins,interceptions,1,1,0
ATL,Jessie Bates III,interceptions,2,3,0
BUF,Matt Milano,interceptions,1,13,0
CIN,Dax Hill,interceptions,1,20,0
DAL,Stephon Gilmore,interceptions,1,0,0
DAL,DaRon Bland,interceptions,1,22,1
DEN,Kareem Jackson,interceptions,1,0,0
DET,Brian Branch,interceptions,1,50,1
GB,Quay Walker,interceptions,1,37,1
HOU,Steven Nelson,interceptions,1,0,0
IND,Tony Brown II,interceptions,1,34,0
JAX,Tyson Campbell,interceptions,1,0,0
LAC,J.C. Jackson,interceptions,1,9,0
NO,Marcus Maye,interceptions,1,5,0
NO,Marshon Lattimore,interceptions,1,0,0
NO,Paulson Adebo,interceptions,1,0,0
NYJ,Jordan Whitehead,interceptions,3,0,0
PHI,Darius Slay,interceptions,1,70,1
SF,Charvarius Ward,interceptions,1,9,0
SF,Talanoa Hufanga,interceptions,1,28,0
TB,Christian Izien,interceptions,1,14,0
TEN,Amani Hooker,interceptions,1,10,0
