team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,100.0,54,10,3,3,1,1
ATL,Younghoe Koo,kicking,100.0,49,6,1,1,3,3
BAL,Justin Tucker,kicking,100.0,39,5,1,1,2,2
BUF,Tyler Bass,kicking,100.0,50,10,3,3,1,1
CAR,Eddy Pineiro,kicking,100.0,43,4,1,1,1,1
CHI,Cairo Santos,kicking,100.0,47,6,2,2,0,0
CIN,Evan McPherson,kicking,50.0,42,3,1,2,0,0
CLE,Dustin Hopkins,kicking,100.0,43,10,3,3,1,1
DAL,Brandon Aubrey,kicking,100.0,38,10,2,2,4,5
DEN,Wil Lutz,kicking,50.0,24,4,1,2,1,2
DET,Riley Patterson,kicking,0.0,0,3,0,0,3,3
GB,Anders Carlson,kicking,100.0,52,8,1,1,5,5
HOU,Ka'imi Fairbairn,kicking,100.0,38,9,3,3,0,0
IND,Matt Gay,kicking,0.0,0,3,0,0,3,3
JAX,Brandon McManus,kicking,100.0,45,7,1,1,4,4
KC,Harrison Butker,kicking,100.0,39,8,2,2,2,2
LAC,Cameron Dicker,kicking,100.0,50,10,2,2,4,4
LAR,Brett Maher,kicking,60.0,54,12,3,5,3,3
LV,Daniel Carlson,kicking,100.0,24,5,1,1,2,2
MIA,Jason Sanders,kicking,100.0,45,12,3,3,3,4
MIN,Greg Joseph,kicking,100.0,25,5,1,1,2,2
NE,Chad Ryland,kicking,0.0,0,2,0,0,2,2
NO,Blake Grupe,kicking,100.0,52,10,3,3,1,1
NYG,Graham Gano,kicking,0.0,0,0,0,2,0,0
NYJ,Greg Zuerlein,kicking,100.0,43,10,3,3,1,1
PHI,Jake Elliott,kicking,100.0,56,13,4,4,1,2
PIT,Chris Boswell,kicking,0.0,0,1,0,0,1,1
SEA,Jason Myers,kicking,67.0,42,7,2,3,1,1
SF,Jake Moody,kicking,100.0,41,12,3,3,3,3
TB,Chase McLaughlin,kicking,100.0,57,8,2,2,2,2
TEN,Nick Folk,kicking,100.0,50,15,5,5,0,0
WSH,Joey Slye,kicking,100.0,33,8,2,2,2,2
