team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Nolan Cooney,punting,5,235,47.0,0,2,56
ATL,Bradley Pinion,punting,7,337,48.1,0,3,60
BAL,Jordan Stout,punting,5,249,49.8,0,3,67
BUF,Sam Martin,punting,3,141,47.0,0,1,53
CAR,Johnny Hekker,punting,5,266,53.2,0,1,69
CHI,Trenton Gill,punting,4,212,53.0,0,1,54
CIN,Brad Robbins,punting,10,409,40.9,1,2,54
CLE,Corey Bojorquez,punting,7,331,47.3,0,3,66
DAL,Bryan Anger,punting,3,146,48.7,1,1,56
DEN,Riley Dixon,punting,2,80,40.0,0,1,43
DET,Jack Fox,punting,5,222,44.4,0,3,61
GB,Daniel Whelan,punting,5,249,49.8,2,1,68
HOU,Ty Zentner,punting,4,176,44.0,1,0,48
IND,Rigoberto Sanchez,punting,5,208,41.6,0,0,46
JAX,Logan Cooke,punting,5,223,44.6,0,2,52
KC,Tommy Townsend,punting,5,247,49.4,0,3,58
LAC,JK Scott,punting,3,145,48.3,1,0,62
LAR,Ethan Evans,punting,1,45,45.0,0,0,45
LV,AJ Cole,punting,1,49,49.0,0,0,49
MIA,Jake Bailey,punting,1,38,38.0,0,0,38
MIN,Ryan Wright,punting,5,257,51.4,0,0,58
NE,Bryce Baringer,punting,5,226,45.2,1,3,65
NO,Lou Hedley,punting,5,241,48.2,0,1,52
NYG,Jamie Gillan,punting,3,160,53.3,0,0,62
NYJ,Thomas Morstead,punting,4,174,43.5,0,2,54
PHI,Arryn Siposs,punting,4,197,49.3,0,0,54
PIT,Pressley Harvin III,punting,6,254,42.3,0,1,57
SEA,Michael Dickson,punting,4,236,59.0,2,0,73
SF,Mitch Wishnowsky,punting,3,134,44.7,0,3,56
TB,Jake Camarda,punting,6,327,54.5,1,2,63
TEN,Ryan Stonehouse,punting,3,107,35.7,0,1,62
WSH,Tress Way,punting,6,266,44.3,0,3,59
