team,player,category,CAR,YDS,AVG,TD,LONG
LAR,Baker Mayfield,rushing,15,37,2.08,0,11
LAR,Ben Skowronek,rushing,1,17,17.0,1,17
LAR,Brandon Powell,rushing,17,80,3.32,0,20
LAR,Bryce Perkins,rushing,19,90,3.4,0,23
LAR,Cam Akers,rushing,188,786,3.63,7,42
LAR,Cooper Kupp,rushing,9,52,7.56,1,20
LAR,Darrell Henderson Jr.,rushing,70,283,4.09,3,23
LAR,John Wolford,rushing,8,32,3.4,0,14
LAR,Kyren Williams,rushing,35,139,4.51,0,17
LAR,Malcolm Brown,rushing,18,81,7.68,1,23
LAR,Matthew Stafford,rushing,13,9,1.03,1,4
LAR,Ronnie Rivers,rushing,9,21,1.3,0,5
LAR,Tutu Atwell,rushing,9,34,3.86,1,11
