week,opponent,result
1,IND,LOSS
2,DEN,LOSS
3,CHI,LOSS
4,LAC,LOSS
5,JAX,WIN
6,BYE,BYE
7,LV,LOSS
8,TEN,LOSS
9,PHI,LOSS
10,NYG,LOSS
11,WSH,LOSS
12,MIA,LOSS
13,CLE,LOSS
14,DAL,LOSS
15,KC,LOSS
16,TEN,WIN
17,JAX,LOSS
18,IND,WIN
