team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,249,7.8,0,1,2,19,32
ATL,Desmond Ridder,passing,39,6.5,0,0,0,4,6
ATL,Taylor Heinicke,passing,55,3.7,1,0,3,8,15
BAL,Lamar Jackson,passing,223,9.7,1,2,3,13,23
BUF,Josh Allen,passing,177,6.8,1,2,0,15,26
CAR,Bryce Young,passing,185,4.9,0,0,3,21,38
CHI,Tyson Bagent,passing,162,4.9,0,0,0,20,33
CIN,Joe Burrow,passing,347,8.7,2,2,4,27,40
CLE,PJ Walker,passing,0,0.0,0,0,0,0,1
CLE,Deshaun Watson,passing,213,6.3,1,1,4,20,34
DAL,Cooper Rush,passing,68,7.6,0,1,0,7,9
DAL,Dak Prescott,passing,404,11.5,4,1,0,26,35
DEN,Russell Wilson,passing,193,6.7,2,0,4,24,29
DET,Jared Goff,passing,333,10.1,2,0,0,23,33
GB,Jordan Love,passing,289,7.2,2,2,1,21,40
HOU,C.J. Stroud,passing,356,9.1,1,1,1,23,39
IND,Gardner Minshew II,passing,194,6.9,0,1,0,18,28
JAX,Christian Kirk,passing,0,0.0,0,0,0,0,1
JAX,Trevor Lawrence,passing,185,6.4,0,2,5,17,29
JAX,C.J. Beathard,passing,5,2.5,0,0,0,1,2
LAC,Justin Herbert,passing,323,8.1,4,1,0,27,40
LV,Aidan O'Connell,passing,153,5.7,1,1,3,16,27
MIN,Joshua Dobbs,passing,268,7.9,1,0,1,23,34
NE,Bailey Zappe,passing,25,3.6,0,1,0,3,7
NE,Mac Jones,passing,170,8.5,0,1,5,15,20
NO,Derek Carr,passing,110,6.1,0,0,2,13,18
NO,Jameis Winston,passing,122,4.9,2,2,1,13,25
NYG,Tommy DeVito,passing,86,3.2,2,1,5,14,27
NYJ,Zach Wilson,passing,263,6.7,0,1,2,23,39
NYJ,Garrett Wilson,passing,0,0.0,0,0,0,0,1
PIT,Kenny Pickett,passing,126,5.5,0,0,1,14,23
SEA,Geno Smith,passing,369,7.9,2,0,1,31,47
SF,Brock Purdy,passing,296,11.4,3,0,2,19,26
SF,Sam Darnold,passing,6,3.0,0,0,0,1,2
TB,Baker Mayfield,passing,278,9.6,2,1,3,18,29
TEN,Will Levis,passing,199,5.1,0,1,4,19,39
WSH,Sam Howell,passing,312,7.1,3,0,3,29,44
