team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,3,156,52.0,0,1,54
ATL,Bradley Pinion,punting,4,203,50.8,0,1,60
BAL,Jordan Stout,punting,3,161,53.7,2,1,59
BUF,Sam Martin,punting,3,134,44.7,0,0,46
CAR,Johnny Hekker,punting,6,272,45.3,0,3,55
CHI,Trenton Gill,punting,6,280,46.7,1,3,62
CIN,Brad Robbins,punting,5,259,51.8,0,2,56
CLE,Corey Bojorquez,punting,2,89,44.5,0,0,46
DAL,Bryan Anger,punting,2,93,46.5,0,2,48
DEN,Riley Dixon,punting,5,242,48.4,2,2,63
DET,Jack Fox,punting,1,29,29.0,0,1,29
GB,Daniel Whelan,punting,4,179,44.8,0,1,53
HOU,Cameron Johnston,punting,4,169,42.3,0,2,47
IND,Rigoberto Sanchez,punting,5,224,44.8,0,4,69
JAX,Logan Cooke,punting,5,268,53.6,1,0,62
LAC,JK Scott,punting,2,107,53.5,0,0,58
LV,AJ Cole,punting,5,253,50.6,1,3,63
MIN,Ryan Wright,punting,6,258,43.0,0,3,50
NE,Bryce Baringer,punting,4,250,62.5,2,1,79
NO,Lou Hedley,punting,6,279,46.5,1,1,48
NYG,Jamie Gillan,punting,7,350,50.0,1,2,58
NYJ,Thomas Morstead,punting,5,276,55.2,2,0,62
PIT,Pressley Harvin III,punting,5,224,44.8,0,3,56
SEA,Michael Dickson,punting,4,181,45.3,1,1,49
SF,Mitch Wishnowsky,punting,3,141,47.0,0,2,56
TB,Jake Camarda,punting,5,171,34.2,0,1,47
TEN,Ryan Stonehouse,punting,4,227,56.8,1,2,62
WSH,Tress Way,punting,5,227,45.4,0,2,52
