team,player,category,INT,YDS,TD
ATL,Nate Landman,interceptions,1,25,0
BAL,Kyle Hamilton,interceptions,1,18,1
CIN,Cam Taylor-Britt,interceptions,1,30,0
CLE,Mike Ford Jr.,interceptions,1,10,0
CLE,Greg Newsome II,interceptions,1,34,1
DAL,DaRon Bland,interceptions,1,0,0
DEN,Justin Simmons,interceptions,1,0,0
DEN,Fabian Moreau,interceptions,1,9,0
DET,Kerby Joseph,interceptions,1,0,0
HOU,DeAndre Houston-Carson,interceptions,1,13,0
HOU,Shaquill Griffin,interceptions,1,0,0
IND,Rodney Thomas II,interceptions,1,5,0
IND,Julian Blackmon,interceptions,1,4,0
LV,Robert Spillane,interceptions,1,25,0
MIN,Mekhi Blackmon,interceptions,1,0,0
MIN,Byron Murphy Jr.,interceptions,1,4,0
NE,Myles Bryant,interceptions,1,6,0
NYG,Cor'Dale Flott,interceptions,1,21,0
NYG,Darnay Holmes,interceptions,1,11,0
NYJ,Jordan Whitehead,interceptions,1,6,0
PIT,Damontae Kazee,interceptions,1,30,0
PIT,Keanu Neal,interceptions,1,32,0
SF,Talanoa Hufanga,interceptions,1,12,0
SF,Fred Warner,interceptions,1,22,0
TB,Antoine Winfield Jr.,interceptions,1,28,0
TEN,Roger McCreary,interceptions,1,18,0
