week,opponent,result
1,LAC,LOSS
2,PHI,LOSS
3,NYG,WIN
4,BAL,WIN
5,JAX,LOSS
6,DET,WIN
7,LV,WIN
8,WSH,WIN
9,BUF,LOSS
11,DEN,LOSS
12,IND,WIN
13,DAL,LOSS
14,HOU,LOSS
15,LAC,LOSS
16,TEN,LOSS
17,DEN,LOSS
18,LV,LOSS
